scenario_id,"Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс","Дозировка катализатора, категория","Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Oxidation EOT | DIN 51453 Daimler Oxidation Test (DOT), A/cm",moly_share,amine_ao_share,weighted_mo,weighted_amine_n,moly_amine_interaction,moly_n_interaction,moly_present,amine_present
train_139,160,168,5,2,2.68,134.0,0.10540825285338017,0.10060403863037752,0.7905618964003512,0.4456758911325724,0.01060449594202206,0.04697791702315772,True,True
train_14,160,168,0,1,-30.7,76.38,0.0,0.04147435630893475,0.0,0.18373139844858094,0.0,0.0,False,True
train_140,160,168,5,2,20.06,122.71,0.09415348131046337,0.08986222818926685,0.7061511098284753,0.39808967087845215,0.008460841622334733,0.03748152838694286,True,True
train_141,160,168,5,2,2.72,134.08,0.11406388945892332,0.10886517545659757,0.8554791709419249,0.48227272727272724,0.012417585339207638,0.05500990305268983,True,True
train_142,160,168,0,1,48.9,93.48,0.0,0.06531358571897526,0.0,0.2893391847350604,0.0,0.0,False,True
train_143,160,168,0,1,7.1,14.85,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_144,160,168,0,1,4.7,17.01,0.13339284335493398,0.09292414543797306,1.0004463251620048,0.4116539642902206,0.012395415976298644,0.05491169277500298,True,True
train_145,160,168,0,1,3.74,112.26,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_146,160,168,0,1,13.93,65.64,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_147,160,168,0,1,10.1,16.13,0.06633731268792287,0.09834723867925682,0.4975298451594215,0.4356782673491077,0.006524091524259642,0.028901725452470214,True,True
train_148,160,168,0,1,11.04,22.21,0.09440553382336281,0.11629025916472854,0.708041503675221,0.5151658480997474,0.010978443994903407,0.04863450689742209,True,True
train_149,160,168,0,1,12.45,17.35,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_15,160,168,0,1,-29.38,60.24,0.0,0.04147435630893475,0.0,0.18373139844858094,0.0,0.0,False,True
train_150,160,168,0,1,11.1,17.0,0.12906634985595924,0.08991022279397161,0.9679976239196943,0.3983022869772942,0.01160438427075398,0.051407422319440135,True,True
train_151,160,168,0,1,-17.02,19.11,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_152,160,168,5,1,16.58,38.8,0.08100374488042691,0.038033434344418575,0.6075280866032019,0.133117020205465,0.003080850612561749,0.010782977143966123,True,True
train_153,150,168,7,2,10.77,45.93,0.08100374488042691,0.038033434344418575,0.6075280866032019,0.133117020205465,0.003080850612561749,0.010782977143966123,True,True
train_154,150,216,7,2,29.31,75.09,0.08100374488042691,0.038033434344418575,0.6075280866032019,0.133117020205465,0.003080850612561749,0.010782977143966123,True,True
train_155,160,168,5,2,36.3,61.83,0.08100374488042691,0.038033434344418575,0.6075280866032019,0.133117020205465,0.003080850612561749,0.010782977143966123,True,True
train_156,150,168,7,1,32.46,45.2,0.06835217540253512,0.03209318259677972,0.5126413155190134,0.11232613908872902,0.002193638846080675,0.007677735961282362,True,True
train_157,150,216,7,1,79.9,52.89,0.06835217540253512,0.03209318259677972,0.5126413155190134,0.11232613908872902,0.002193638846080675,0.007677735961282362,True,True
train_158,150,168,7,1,36.63,47.24,0.06835217540253512,0.03209318259677972,0.5126413155190134,0.11232613908872902,0.002193638846080675,0.007677735961282362,True,True
train_159,150,216,7,1,95.96,57.58,0.06835217540253512,0.03209318259677972,0.5126413155190134,0.11232613908872902,0.002193638846080675,0.007677735961282362,True,True
train_16,160,168,0,1,-31.38,68.26,0.0,0.03987763218877575,0.0,0.17665791059627656,0.0,0.0,False,True
train_160,160,168,5,1,48.52,45.28,0.06835217540253512,0.03209318259677972,0.5126413155190134,0.11232613908872902,0.002193638846080675,0.007677735961282362,True,True
train_161,160,168,5,2,35.0,42.16,0.07327944620248515,0.0344066686058982,0.5495958465186387,0.12042334012064371,0.002521301621112652,0.008824555673894282,True,True
train_162,160,168,0,1,30.02,70.33,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_163,160,168,0,1,-2.51,76.57,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_164,160,168,0,1,4.36,127.51,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_165,150,216,7,2,141.4,50.69,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_166,160,168,5,2,67.5,47.54,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_167,160,168,0,1,-37.0,41.93,0.0,0.38797228480477614,0.0,1.718717221685158,0.0,0.0,False,True
train_17,160,168,0,1,-35.6,76.37,0.0,0.38797228480477614,0.0,1.718717221685158,0.0,0.0,False,True
train_18,160,168,0,1,-18.1,39.15,0.0,0.021246688264887223,0.0,0.09412282901345038,0.0,0.0,False,True
train_19,160,168,0,1,-17.2,39.27,0.0,0.02301726760755776,0.0,0.10196649550148086,0.0,0.0,False,True
train_2,160,168,0,1,20.5,112.37,0.0,0.1152216609707315,0.0,0.40327581339756025,0.0,0.0,False,True
train_20,160,168,0,1,-17.51,97.66,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_21,160,168,0,1,-18.94,66.79,0.17847898939188978,0.0,1.7847898939188978,0.0,0.0,0.0,True,False
train_22,160,168,0,1,-9.85,70.21,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_23,160,168,0,1,-9.94,65.94,0.0,0.03679568814487992,0.0,0.16300489848181804,0.0,0.0,False,True
train_24,160,168,0,1,-19.12,64.96,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_25,160,168,0,1,-11.39,24.69,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_26,160,168,0,1,30.81,98.18,0.1409530695257577,0.021789988478991794,1.409530695257577,0.09652964896193364,0.0030713657610447896,0.013606150321428418,True,True
train_27,160,168,0,1,25.67,97.77,0.1409530695257577,0.021789988478991794,1.409530695257577,0.09652964896193364,0.0030713657610447896,0.013606150321428418,True,True
train_28,160,168,0,1,69.8,126.22,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_29,160,168,0,1,53.13,119.83,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_3,160,168,0,1,-20.3,36.33,0.0,0.02254883324842798,0.0,0.09989133129053594,0.0,0.0,False,True
train_30,160,168,0,1,68.02,116.66,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_31,160,168,0,1,68.02,116.66,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_32,160,168,0,1,-9.77,60.23,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_33,160,168,0,1,-9.77,60.23,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_34,160,168,0,1,-9.77,60.23,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_35,160,168,0,1,45.82,106.86,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_36,160,168,0,1,25.34,103.54,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_37,160,168,0,1,3.81,89.11,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_38,160,168,0,1,-0.56,73.21,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_39,160,168,0,1,15.83,96.16,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_4,160,168,0,1,-20.6,37.95,0.0,0.02482517072746054,0.0,0.10997550632265018,0.0,0.0,False,True
train_40,160,168,0,1,0.71,72.96,0.0,0.03278463800479786,0.0,0.1452359463612545,0.0,0.0,False,True
train_41,160,168,0,1,-12.6,65.25,0.0,0.0266438585079583,0.0,0.11803229319025527,0.0,0.0,False,True
train_42,160,168,0,1,-4.77,71.94,0.0,0.03448476349284978,0.0,0.15276750227332453,0.0,0.0,False,True
train_43,160,168,0,1,-7.86,70.0,0.0,0.03170469391115074,0.0,0.14045179402639776,0.0,0.0,False,True
train_44,160,168,0,1,4.35,27.49,0.0,0.020974253213043983,0.0,0.18176287834423918,0.0,0.0,False,True
train_45,160,168,0,1,-25.97,30.58,0.0,0.022868458553617806,0.0,0.10130727139252688,0.0,0.0,False,True
train_46,160,168,0,1,-23.35,25.82,0.0,0.020974253213043983,0.0,0.07340988624565395,0.0,0.0,False,True
train_47,160,168,0,1,-12.23,57.42,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_48,160,168,0,1,5.59,36.92,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_49,160,168,0,1,-19.33,31.16,0.0,0.0,0.0,0.0,0.0,0.0,False,False
train_5,160,168,0,1,-18.9,34.9,0.0,0.021971280862848414,0.0,0.09733277422241847,0.0,0.0,False,True
train_50,160,168,0,1,-12.44,66.03,0.0,0.03303127853527928,0.0,0.1463285639112872,0.0,0.0,False,True
train_51,160,168,0,1,-8.49,86.06,0.0,0.05534832394147537,0.0,0.24519307506073587,0.0,0.0,False,True
train_52,160,168,0,1,-10.35,24.07,0.16762932036357728,0.0,1.6762932036357727,0.0,0.0,0.0,True,False
train_53,160,168,0,1,-10.17,29.96,0.14274085417122415,0.0,1.4274085417122415,0.0,0.0,0.0,True,False
train_54,160,168,0,1,-9.59,32.08,0.16859130520373047,0.0,1.6859130520373047,0.0,0.0,0.0,True,False
train_55,160,168,0,1,-9.39,31.54,0.16286106262607056,0.0,1.6286106262607056,0.0,0.0,0.0,True,False
train_56,160,168,0,1,-12.46,31.79,0.1402955571356984,0.11162520772386146,1.4029555713569841,0.49449967021670627,0.01566052070800721,0.06937610673647193,True,True
train_57,160,168,0,1,-11.27,27.83,0.12955530654428407,0.1257985598021402,1.2955530654428407,0.557287619923481,0.016297870977995725,0.07219956843252105,True,True
train_58,160,168,0,1,-10.34,25.27,0.18290371421270818,0.10746580018229733,1.8290371421270817,0.47607349480757716,0.019655894004182915,0.08707561043853031,True,True
train_59,160,168,0,1,-11.63,25.33,0.12017234917893961,0.11668768233420915,1.2017234917893962,0.5169264327405465,0.014022632906347764,0.062120263775120595,True,True
train_6,160,168,0,1,-17.83,32.12,0.0,0.020843202273803884,0.0,0.0923353860729512,0.0,0.0,False,True
train_60,160,168,0,1,-11.57,27.21,0.112376301843831,0.10911769888030297,1.12376301843831,0.4833914060397421,0.012262243465877187,0.05432173855383594,True,True
train_61,160,168,0,1,-11.12,28.47,0.12017234917893961,0.11668768233420915,1.2017234917893962,0.5169264327405465,0.014022632906347764,0.062120263775120595,True,True
train_62,160,168,0,1,-8.33,27.92,0.1832794171317855,0.10768654591730471,1.832794171317855,0.47705139841365984,0.019736727368658863,0.08743370224315876,True,True
train_63,160,168,0,1,-8.37,27.75,0.182862916678582,0.10744182942987598,1.82862916678582,0.4759673043743506,0.01964712630282983,0.08703676952153615,True,True
train_64,160,168,0,1,-9.63,27.94,0.0,0.09561238616159286,0.0,0.42356287069585635,0.0,0.0,False,True
train_65,160,168,0,1,-10.22,27.95,0.16820931904670047,0.09883205022534766,1.6820931904670047,0.43782598249829013,0.01662447186839503,0.07364641037698998,True,True
train_66,160,168,0,1,-9.86,25.36,0.16820931904670047,0.09883205022534766,1.6820931904670047,0.43782598249829013,0.01662447186839503,0.07364641037698998,True,True
train_67,160,168,0,1,-9.08,28.36,0.06916981303734704,0.10254651321475684,0.5187735977801028,0.45428105354137277,0.007093123146696568,0.03142253553986579,True,True
train_68,160,168,0,1,-27.19,12.61,0.07017511473097755,0.10403690590029205,0.5263133604823317,0.46088349313829374,0.00730080180780891,0.03234255200859347,True,True
train_69,160,168,0,1,-26.61,11.28,0.07017511473097755,0.10403690590029205,0.5263133604823317,0.46088349313829374,0.00730080180780891,0.03234255200859347,True,True
train_7,160,168,0,1,-18.1,36.52,0.0,0.023348533709563638,0.0,0.10343400433336691,0.0,0.0,False,True
train_70,160,168,0,1,-25.66,10.78,0.07017511473097755,0.10403690590029205,0.5263133604823317,0.46088349313829374,0.00730080180780891,0.03234255200859347,True,True
train_71,160,168,0,1,-26.04,11.11,0.07017511473097755,0.10403690590029205,0.5263133604823317,0.46088349313829374,0.00730080180780891,0.03234255200859347,True,True
train_72,160,168,0,1,-25.32,12.53,0.07017511473097755,0.10403690590029205,0.5263133604823317,0.46088349313829374,0.00730080180780891,0.03234255200859347,True,True
train_73,160,168,0,1,-27.28,12.93,0.07017511473097755,0.10403690590029205,0.5263133604823317,0.46088349313829374,0.00730080180780891,0.03234255200859347,True,True
train_74,160,168,0,1,-33.87,12.4,0.06120539890418283,0.09073900841908326,0.4590404917813712,0.4019738072965388,0.0055537172064599955,0.024602967224617776,True,True
train_75,160,168,0,1,-27.67,22.0,0.06120539890418283,0.09073900841908326,0.4590404917813712,0.4019738072965388,0.0055537172064599955,0.024602967224617776,True,True
train_76,160,168,0,1,26.06,17.71,0.0480556633600534,0.07124409480671673,0.3604174752004005,0.31561133999375507,0.003423682236423308,0.015166912307355252,True,True
train_77,160,168,0,1,24.83,18.32,0.0480556633600534,0.07124409480671673,0.3604174752004005,0.31561133999375507,0.003423682236423308,0.015166912307355252,True,True
train_78,160,168,0,1,-0.74,77.0,0.0,0.04116723233422599,0.0,0.18237083924062114,0.0,0.0,False,True
train_79,160,168,0,1,-21.6,31.35,0.0,0.024604866878510566,0.0,0.1089995602718018,0.0,0.0,False,True
train_8,160,168,0,1,-19.12,34.19,0.0,0.020843202273803884,0.0,0.0923353860729512,0.0,0.0,False,True
train_80,160,168,0,1,4.25,113.05,0.0,0.023303488562537535,0.0,0.10323445433204127,0.0,0.0,False,True
train_81,150,168,7,1,320.67,87.0,0.1513577827326709,0.02694262580931236,1.1351833704950316,0.09429919033259326,0.004077976103493552,0.01427291636222743,True,True
train_82,150,216,7,1,566.53,103.1,0.1513577827326709,0.02694262580931236,1.1351833704950316,0.09429919033259326,0.004077976103493552,0.01427291636222743,True,True
train_83,150,168,7,1,251.19,74.26,0.1335022164132239,0.062333166529396,1.0012666230991794,0.218166082852886,0.00832161588772895,0.029125655607051323,True,True
train_84,150,216,7,1,337.08,87.72,0.1335022164132239,0.062333166529396,1.0012666230991794,0.218166082852886,0.00832161588772895,0.029125655607051323,True,True
train_85,150,168,7,1,226.28,55.42,0.10586729922820842,0.08783493136166975,0.7940047442115632,0.30742225976584414,0.00929884696115504,0.03254596436404264,True,True
train_86,150,216,7,1,225.24,61.15,0.10586729922820842,0.08783493136166975,0.7940047442115632,0.30742225976584414,0.00929884696115504,0.03254596436404264,True,True
train_87,160,168,7,1,28.29,52.1,0.023925157299983468,0.0739363409155005,0.179438679749876,0.25877719320425174,0.0017689385865885532,0.006191285053059936,True,True
train_88,150,216,7,1,399.59,129.68,0.0,0.07579470390139152,0.0,0.2652814636548703,0.0,0.0,False,True
train_89,160,168,0,1,-17.16,20.84,0.13617743047974076,0.06358224364878874,1.0213307285980557,0.2225378527707606,0.008658466564228867,0.030304632974801037,True,True
train_9,160,168,0,1,-19.54,33.87,0.0,0.02254883324842798,0.0,0.09989133129053594,0.0,0.0,False,True
train_90,154,216,7,1,519.21,134.43,0.13617743047974076,0.06358224364878874,1.0213307285980557,0.2225378527707606,0.008658466564228867,0.030304632974801037,True,True
train_91,160,168,0,1,-25.0,35.89,0.13617743047974076,0.06358224364878874,1.0213307285980557,0.2225378527707606,0.008658466564228867,0.030304632974801037,True,True
train_92,160,168,0,1,-20.71,36.07,0.13617743047974076,0.06358224364878874,1.0213307285980557,0.2225378527707606,0.008658466564228867,0.030304632974801037,True,True
train_93,160,168,0,1,-21.91,89.03,0.12855339043783912,0.06002252329113059,0.9641504282837934,0.21007883151895707,0.007716098871709003,0.02700634605098151,True,True
train_94,160,168,0,1,-13.31,10.22,0.13617743047974076,0.06358224364878874,1.0213307285980557,0.2225378527707606,0.008658466564228867,0.030304632974801037,True,True
train_95,160,168,0,1,48.3,88.19,0.0,0.020478708092651943,0.0,0.0907206768504481,0.0,0.0,False,True
train_96,160,168,0,1,1.86,78.95,0.0,0.05500424687676301,0.0,0.24366881366406012,0.0,0.0,False,True
train_97,160,168,0,1,33.0,97.44,0.0,0.07082158906051185,0.0,0.3137396395380675,0.0,0.0,False,True
train_98,160,168,0,1,11.52,85.8,0.0,0.031084498349648722,0.0,0.13770432768894383,0.0,0.0,False,True
train_99,160,168,0,1,62.3,96.92,0.0,0.03781317922191707,0.0,0.16751238395309262,0.0,0.0,False,True
