scenario_id,"Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс","Дозировка катализатора, категория","Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Oxidation EOT | DIN 51453 Daimler Oxidation Test (DOT), A/cm",synergy_ao_phenol_x_diphenylamine_active_no,synergy_ao_diphenylamine_active_no_x_mo,synergy_zn_x_boron_dispersant,synergy_aw_sulfur_x_ca_ca_mg,ao_k_avg_weighted_active_no,ao_k_avg_arithmetic,ao_ionization_min,ao_homo_max
train_120,160,168,5,1,78.94,25.27,18.174358976289998,0.0,4.144008,564.2157419999999,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_121,160,168,5,1,47.13,28.09,18.174358976289998,0.0,4.144008,564.2157419999999,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_122,160,168,5,1,12.58,69.1,18.174358976289998,33.224999999999994,3.9601319999999998,0.0,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_123,160,168,5,1,5.77,65.59,18.174358976289998,33.224999999999994,3.9601319999999998,0.0,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_124,160,168,5,1,9.99,79.18,18.174358976289998,33.224999999999994,3.9601319999999998,0.0,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_125,154,216,7,1,64.3,148.95,18.174358976289998,33.224999999999994,3.9601319999999998,0.0,4.039454744405104e-180,4.922958061236736e-181,7.18,-4.98
train_126,160,168,5,1,37.1,85.72,18.174358976289998,33.224999999999994,3.9601319999999998,0.0,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_127,160,168,0,1,30.3,24.4,18.174358976289998,33.224999999999994,3.9601319999999998,0.0,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_128,160,168,0,1,-23.02,15.94,18.174358976289998,0.0,4.144184,668.8488059999999,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_129,160,168,0,1,-23.13,15.81,18.174358976289998,33.224999999999994,4.131952,664.654066,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_13,160,168,0,1,-31.73,8.14,0.0,0.0,0.0,0.0,1.1782232734232438e-181,1.1782232734232438e-181,7.18,-4.98
train_130,150,216,0,1,15.22,43.24,18.174358976289998,0.0,4.1440168,564.2192237999998,7.711577421629541e-182,9.398259372202267e-183,7.18,-4.98
train_131,160,168,0,1,0.2,41.28,18.174358976289998,0.0,0.0,786.2367392,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_132,160,168,0,1,14.15,17.37,14.3589743605,26.25,8.1138464,516.4249364,1.3346516395738746e-177,1.6266066861389904e-178,6.5,-5.15
train_133,160,168,0,1,16.5,20.31,18.174358976289998,33.224999999999994,3.9822464,145.798048,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_134,160,168,0,1,-18.6,16.57,32.533333336789994,59.474999999999994,12.095846400000001,430.1872043999999,1.335173592484001e-177,1.0847971985171347e-178,6.5,-4.98
train_135,160,168,0,1,16.21,17.9,32.533333336789994,59.474999999999994,8.1138464,283.96675639999995,1.335173592484001e-177,1.0847971985171347e-178,6.5,-4.98
train_136,160,168,0,1,15.76,16.22,32.533333336789994,59.474999999999994,8.1138464,283.96675639999995,1.335173592484001e-177,1.0847971985171347e-178,6.5,-4.98
train_137,160,168,0,1,-27.13,5.61,18.174358976289998,33.224999999999994,4.004264,785.36832,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_138,160,168,0,1,-26.8,16.45,18.174358976289998,33.224999999999994,4.005496,785.3876799999999,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_139,160,168,5,2,2.68,134.0,18.174358976289998,33.224999999999994,3.961452,0.0,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_14,160,168,0,1,-30.7,76.38,18.174358976289998,0.0,4.14678,781.2496,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_140,160,168,5,2,20.06,122.71,18.174358976289998,33.224999999999994,3.961452,0.0,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_141,160,168,5,2,2.72,134.08,18.174358976289998,33.224999999999994,3.961452,0.0,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_142,160,168,0,1,48.9,93.48,18.174358976289998,0.0,4.13182,757.1572019999999,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_143,160,168,0,1,7.1,14.85,0.0,0.0,0.0,0.0,0.0,0.0,,
train_144,160,168,0,1,4.7,17.01,18.174358976289998,33.224999999999994,0.01518,0.0,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_145,160,168,0,1,3.74,112.26,0.0,0.0,0.0,0.0,0.0,0.0,,
train_146,160,168,0,1,13.93,65.64,0.0,0.0,0.0,0.0,0.0,0.0,,
train_147,160,168,0,1,10.1,16.13,18.174358976289998,33.224999999999994,3.9835400000000005,758.11824,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_148,160,168,0,1,11.04,22.21,18.174358976289998,33.224999999999994,3.998588,845.4688,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_149,160,168,0,1,12.45,17.35,0.0,0.0,0.0,0.0,0.0,0.0,,
train_15,160,168,0,1,-29.38,60.24,41.641999999999996,0.0,4.14678,781.2496,5.22346286084358e-181,5.8932087924239905e-182,6.72,-4.98
train_150,160,168,0,1,11.1,17.0,18.174358976289998,33.224999999999994,0.01518,0.0,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_151,160,168,0,1,-17.02,19.11,0.0,0.0,0.0,0.0,0.0,0.0,,
train_152,160,168,5,1,16.58,38.8,14.3589743605,26.25,4.1317496,137.731718,1.3346516395738746e-177,1.6266066861389904e-178,6.5,-5.15
train_153,150,168,7,2,10.77,45.93,14.3589743605,26.25,4.1317496,137.731718,7.709072937476433e-182,9.395432643644314e-183,6.5,-5.15
train_154,150,216,7,2,29.31,75.09,14.3589743605,26.25,4.1317496,137.731718,7.709072937476433e-182,9.395432643644314e-183,6.5,-5.15
train_155,160,168,5,2,36.3,61.83,14.3589743605,26.25,4.1317496,137.731718,1.3346516395738746e-177,1.6266066861389904e-178,6.5,-5.15
train_156,150,168,7,1,32.46,45.2,14.3589743605,26.25,4.1317496,250.49229799999998,7.709072937476433e-182,9.395432643644314e-183,6.5,-5.15
train_157,150,216,7,1,79.9,52.89,14.3589743605,26.25,4.1317496,250.49229799999998,7.709072937476433e-182,9.395432643644314e-183,6.5,-5.15
train_158,150,168,7,1,36.63,47.24,14.3589743605,26.25,4.6219096,236.08427799999998,7.709072937476433e-182,9.395432643644314e-183,6.5,-5.15
train_159,150,216,7,1,95.96,57.58,14.3589743605,26.25,4.6219096,236.08427799999998,7.709072937476433e-182,9.395432643644314e-183,6.5,-5.15
train_16,160,168,0,1,-31.38,68.26,41.641999999999996,0.0,4.14678,781.2496,5.22346286084358e-181,5.8932087924239905e-182,6.72,-4.98
train_160,160,168,5,1,48.52,45.28,14.3589743605,26.25,4.6219096,236.08427799999998,1.3346516395738746e-177,1.6266066861389904e-178,6.5,-5.15
train_161,160,168,5,2,35.0,42.16,14.3589743605,26.25,3.9821496,145.78256,1.3346516395738746e-177,1.6266066861389904e-178,6.5,-5.15
train_162,160,168,0,1,30.02,70.33,0.0,0.0,0.0,0.0,0.0,0.0,,
train_163,160,168,0,1,-2.51,76.57,0.0,0.0,0.0,0.0,0.0,0.0,,
train_164,160,168,0,1,4.36,127.51,0.0,0.0,0.0,0.0,0.0,0.0,,
train_165,150,216,7,2,141.4,50.69,0.0,0.0,0.0,0.0,0.0,0.0,,
train_166,160,168,5,2,67.5,47.54,0.0,0.0,0.0,0.0,0.0,0.0,,
train_167,160,168,0,1,-37.0,41.93,0.0,0.0,0.0,0.0,1.1782232734232438e-181,1.1782232734232438e-181,7.18,-4.98
train_17,160,168,0,1,-35.6,76.37,0.0,0.0,0.0,465.74999999999994,1.1782232734232438e-181,1.1782232734232438e-181,7.18,-4.98
train_18,160,168,0,1,-18.1,39.15,18.174358976289998,0.0,0.0,381.1496,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_19,160,168,0,1,-17.2,39.27,18.174358976289998,0.0,0.0,377.431725,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_2,160,168,0,1,20.5,112.37,25.41,0.0,0.0,591.32835,1.4705605036889086e-179,1.0127829209652237e-180,6.5,-5.15
train_20,160,168,0,1,-17.51,97.66,0.0,0.0,0.0,588.3777,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_21,160,168,0,1,-18.94,66.79,0.0,0.0,0.0,588.3777,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_22,160,168,0,1,-9.85,70.21,0.0,0.0,0.0,710.7570260000001,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_23,160,168,0,1,-9.94,65.94,18.174358976289998,0.0,0.0,475.974136,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_24,160,168,0,1,-19.12,64.96,0.0,0.0,0.0,833.9686260000001,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_25,160,168,0,1,-11.39,24.69,0.0,0.0,0.0,876.6886259999999,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_26,160,168,0,1,30.81,98.18,18.174358976289998,44.3,0.0,668.7916031,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_27,160,168,0,1,25.67,97.77,18.174358976289998,44.3,0.0,591.2061000000001,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_28,160,168,0,1,69.8,126.22,0.0,0.0,0.0,588.37704,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_29,160,168,0,1,53.13,119.83,0.0,0.0,0.0,588.37704,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_3,160,168,0,1,-20.3,36.33,18.174358976289998,0.0,0.0,785.364976,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_30,160,168,0,1,68.02,116.66,0.0,0.0,0.0,588.37704,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_31,160,168,0,1,68.02,116.66,0.0,0.0,0.0,588.37704,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_32,160,168,0,1,-9.77,60.23,0.0,0.0,0.0,698.198414,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_33,160,168,0,1,-9.77,60.23,0.0,0.0,0.0,698.198414,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_34,160,168,0,1,-9.77,60.23,0.0,0.0,0.0,698.198414,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_35,160,168,0,1,45.82,106.86,0.0,0.0,0.0,419.78445,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_36,160,168,0,1,25.34,103.54,0.0,0.0,0.0,588.3844499999999,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_37,160,168,0,1,3.81,89.11,0.0,0.0,0.0,1323.8312624999999,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_38,160,168,0,1,-0.56,73.21,0.0,0.0,0.0,426.23445,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_39,160,168,0,1,15.83,96.16,0.0,0.0,0.0,640.07445,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_4,160,168,0,1,-20.6,37.95,18.174358976289998,0.0,0.0,823.9358026999998,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_40,160,168,0,1,0.71,72.96,18.174358976289998,0.0,0.0,627.0000864,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_41,160,168,0,1,-12.6,65.25,18.174358976289998,0.0,0.0,701.500136,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_42,160,168,0,1,-4.77,71.94,18.174358976289998,0.0,0.0,545.394136,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_43,160,168,0,1,-7.86,70.0,18.174358976289998,0.0,0.0,781.423026,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_44,160,168,0,1,4.35,27.49,0.0,0.0,0.0,786.31168,1.3346516368041031e-177,1.6335413221988328e-178,6.01,-4.64
train_45,160,168,0,1,-25.97,30.58,18.174358976289998,0.0,0.0,736.8837465,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_46,160,168,0,1,-23.35,25.82,14.3589743605,0.0,0.0,785.3614560000001,1.3346516395738746e-177,1.6266066861389904e-178,6.5,-5.15
train_47,160,168,0,1,-12.23,57.42,0.0,0.0,0.0,0.0,0.0,0.0,,
train_48,160,168,0,1,5.59,36.92,0.0,0.0,0.0,0.0,0.0,0.0,,
train_49,160,168,0,1,-19.33,31.16,0.0,0.0,0.0,0.0,0.0,0.0,,
train_5,160,168,0,1,-18.9,34.9,18.174358976289998,0.0,0.0,813.6865824,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_50,160,168,0,1,-12.44,66.03,18.174358976289998,0.0,0.0,762.6476000000001,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_51,160,168,0,1,-8.49,86.06,18.174358976289998,0.0,0.0,762.6476000000001,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_52,160,168,0,1,-10.35,24.07,0.0,0.0,0.0,672.844094,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_53,160,168,0,1,-10.17,29.96,0.0,0.0,0.0,672.844094,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_54,160,168,0,1,-9.59,32.08,0.0,0.0,0.0,672.844094,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_55,160,168,0,1,-9.39,31.54,0.0,0.0,0.0,485.0540940000001,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_56,160,168,0,1,-12.46,31.79,18.174358976289998,44.3,0.0,646.7190846,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_57,160,168,0,1,-11.27,27.83,18.174358976289998,44.3,0.0,697.0977846000001,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_58,160,168,0,1,-10.34,25.27,18.174358976289998,44.3,0.0,646.7190846,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_59,160,168,0,1,-11.63,25.33,18.174358976289998,44.3,0.0,646.7190846,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_6,160,168,0,1,-17.83,32.12,18.174358976289998,0.0,0.0,847.1061098999998,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_60,160,168,0,1,-11.57,27.21,18.174358976289998,44.3,0.0,646.7190846,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_61,160,168,0,1,-11.12,28.47,18.174358976289998,44.3,0.0,629.3946282,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_62,160,168,0,1,-8.33,27.92,18.174358976289998,44.3,0.0,646.7190846,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_63,160,168,0,1,-8.37,27.75,18.174358976289998,44.3,0.0,697.0977846000001,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_64,160,168,0,1,-9.63,27.94,18.174358976289998,0.0,0.0,734.4497342999999,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_65,160,168,0,1,-10.22,27.95,18.174358976289998,44.3,0.0,730.2832353,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_66,160,168,0,1,-9.86,25.36,18.174358976289998,44.3,0.0,730.2980042999999,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_67,160,168,0,1,-9.08,28.36,18.174358976289998,33.224999999999994,0.0,730.2980042999999,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_68,160,168,0,1,-27.19,12.61,18.174358976289998,33.224999999999994,3.9822200000000008,784.9776,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_69,160,168,0,1,-26.61,11.28,18.174358976289998,33.224999999999994,3.9822200000000008,785.01104,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_7,160,168,0,1,-18.1,36.52,18.174358976289998,0.0,0.0,752.9089367999999,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_70,160,168,0,1,-25.66,10.78,18.174358976289998,33.224999999999994,5.43024,784.97584,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_71,160,168,0,1,-26.04,11.11,18.174358976289998,33.224999999999994,5.43024,784.97584,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_72,160,168,0,1,-25.32,12.53,18.174358976289998,33.224999999999994,5.43024,784.97584,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_73,160,168,0,1,-27.28,12.93,18.174358976289998,33.224999999999994,5.43024,784.97584,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_74,160,168,0,1,-33.87,12.4,18.174358976289998,33.224999999999994,3.983452,758.1024,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_75,160,168,0,1,-27.67,22.0,18.174358976289998,33.224999999999994,4.153644,773.65704,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_76,160,168,0,1,26.06,17.71,18.174358976289998,33.224999999999994,4.153732,773.672718,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_77,160,168,0,1,24.83,18.32,18.174358976289998,33.224999999999994,4.153732,764.8059380000001,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_78,160,168,0,1,-0.74,77.0,18.174358976289998,0.0,0.0,646.7706119999999,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_79,160,168,0,1,-21.6,31.35,18.174358976289998,0.0,0.0,734.1820046,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_8,160,168,0,1,-19.12,34.19,18.174358976289998,0.0,0.0,735.949665,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_80,160,168,0,1,4.25,113.05,18.174358976289998,0.0,0.0,738.2797113999999,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_81,150,168,7,1,320.67,87.0,0.0,26.25,0.0,500.488599,2.850279821827576e-191,2.850279821827576e-191,6.5,-5.15
train_82,150,216,7,1,566.53,103.1,0.0,26.25,0.0,500.488599,2.850279821827576e-191,2.850279821827576e-191,6.5,-5.15
train_83,150,168,7,1,251.19,74.26,0.0,26.25,0.0,500.488599,2.850279821827576e-191,2.850279821827576e-191,6.5,-5.15
train_84,150,216,7,1,337.08,87.72,0.0,26.25,0.0,500.488599,2.850279821827576e-191,2.850279821827576e-191,6.5,-5.15
train_85,150,168,7,1,226.28,55.42,0.0,26.25,0.0,500.488599,2.850279821827576e-191,2.850279821827576e-191,6.5,-5.15
train_86,150,216,7,1,225.24,61.15,0.0,26.25,0.0,500.488599,2.850279821827576e-191,2.850279821827576e-191,6.5,-5.15
train_87,160,168,7,1,28.29,52.1,0.0,26.25,0.0,0.0,7.913632884542341e-187,7.913632884542341e-187,6.5,-5.15
train_88,150,216,7,1,399.59,129.68,14.3589743605,0.0,0.0,500.488599,7.709072937476433e-182,9.395432643644314e-183,6.5,-5.15
train_89,160,168,0,1,-17.16,20.84,0.0,26.25,0.0,0.0,7.913632884542341e-187,7.913632884542341e-187,6.5,-5.15
train_9,160,168,0,1,-19.54,33.87,18.174358976289998,0.0,0.0,720.7846416,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_90,154,216,7,1,519.21,134.43,0.0,26.25,0.0,0.0,1.8082478990382734e-189,1.8082478990382734e-189,6.5,-5.15
train_91,160,168,0,1,-25.0,35.89,0.0,26.25,0.0,0.0,7.913632884542341e-187,7.913632884542341e-187,6.5,-5.15
train_92,160,168,0,1,-20.71,36.07,0.0,26.25,0.0,0.0,7.913632884542341e-187,7.913632884542341e-187,6.5,-5.15
train_93,160,168,0,1,-21.91,89.03,0.0,26.25,3.9752680000000002,0.0,7.913632884542341e-187,7.913632884542341e-187,6.5,-5.15
train_94,160,168,0,1,-13.31,10.22,0.0,26.25,0.0,591.055959,7.913632884542341e-187,7.913632884542341e-187,6.5,-5.15
train_95,160,168,0,1,48.3,88.19,18.174358976289998,0.0,4.1321456,662.5091113999998,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_96,160,168,0,1,1.86,78.95,18.174358976289998,0.0,4.13204,664.6623559999999,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_97,160,168,0,1,33.0,97.44,18.174358976289998,0.0,4.1318992,664.664014,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_98,160,168,0,1,11.52,85.8,18.174358976289998,0.0,8.1358992,1370.901694,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_99,160,168,0,1,62.3,96.92,18.174358976289998,0.0,4.266372,708.5690178,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
