Наименование показателя,source_type,total,non_null,missing,missing_ratio,property_alias
"Массовая доля фосфора, ASTM D6481",measured,88,88,0,0.0,prop_035
"Массовая доля фосфора, ASTM D6481",typical,14,14,0,0.0,prop_035
Массовая доля цинка | ASTM D6481,measured,7,7,0,0.0,prop_036
"Массовая доля цинка, ASTM D6481",measured,89,89,0,0.0,prop_037
"Массовая доля цинка, ASTM D6481",typical,8,8,0,0.0,prop_037
Модификация,typical,13,0,13,1.0,
Номер CAS,typical,57,0,57,1.0,
Номер CAS / SMILES,typical,13,0,13,1.0,
Общее содержание азота | ASTM D3228,measured,4,4,0,0.0,prop_038
Определение содержания воды методом Карла Фишера | ASTM D 6304,measured,2,2,0,0.0,prop_039
Отношение S:Mo,typical,4,4,0,0.0,prop_040
Отношение Мыло/Основание,typical,23,23,0,0.0,prop_041
"Плотность при 15°С, ASTM D4052",measured,11,11,0,0.0,prop_042
"Плотность при 15°С, ASTM D4052",typical,7,6,1,0.14285714285714285,prop_042
"Плотность при 20°С, ASTM D4052",measured,11,11,0,0.0,prop_043
Последовательность 1 | ASTM D892,measured,52,52,0,0.0,prop_044
Последовательность 2 | ASTM D892,measured,52,52,0,0.0,prop_045
Последовательность 3 | ASTM D892,measured,52,52,0,0.0,prop_046
"Потенциал ионизации,эВ",typical,13,13,0,0.0,prop_047
Происхождение,typical,17,0,17,1.0,
Разветвленность радикала / радикалов,typical,17,0,17,1.0,
"Размер мицелл, нм",typical,22,3,19,0.8636363636363636,prop_048
"Содержание MgCO3, CaCO3, % масс.",typical,23,23,0,0.0,prop_049
Содержание Азота,typical,13,13,0,0.0,prop_050
Содержание Бора,typical,13,13,0,0.0,prop_051
Содержание ароматики,typical,2,0,2,1.0,
"Содержание воды, % масс.",typical,20,6,14,0.7,prop_052
"Содержание других элементов (например, бора)",typical,1,0,1,1.0,
Содержание масла,typical,12,12,0,0.0,prop_053
"Содержание масла, % масс.",typical,23,23,0,0.0,prop_054
"Содержание металла (Ca/Mg), % масс.",typical,22,21,1,0.045454545454545456,prop_055
"Содержание мыла, % масс.",typical,23,23,0,0.0,prop_056
Содержание насыщ. у/в,typical,9,0,9,1.0,
Содержание полимера,typical,2,2,0,0.0,prop_057
"Содержание серы, % масс.",typical,17,17,0,0.0,prop_058
"Содержание серы, мг/кг",typical,12,2,10,0.8333333333333334,prop_059
Соотношение мономеров (EO:PO),typical,1,1,0,0.0,prop_060
Средневесовая масса,typical,1,1,0,0.0,prop_061
Степень полисульфидности,typical,7,7,0,0.0,prop_062
"Стерический фактор, Å3",typical,13,13,0,0.0,prop_063
Структура УВ-радикала,typical,22,0,22,1.0,
"Температура застывания, ГОСТ 20287, метод Б",measured,75,75,0,0.0,prop_064
"Температура застывания, ГОСТ 20287, метод Б",typical,12,12,0,0.0,prop_064
"Температура плавления, °C",typical,9,7,2,0.2222222222222222,prop_065
Температура проведения теста | -,measured,1,1,0,0.0,prop_066
"Температура разложения, °C",typical,6,0,6,1.0,
Тип АО,typical,13,0,13,1.0,
Тип лиганда,typical,6,0,6,1.0,
Тип полимера,typical,3,0,3,1.0,
Тип спиртового радикала,typical,17,0,17,1.0,
Тип сукцинимида,typical,13,0,13,1.0,
"Химический потенциал, Дж/моль",typical,13,13,0,0.0,prop_067
Цвет | ASTM D1500,measured,5,5,0,0.0,prop_068
Цвет Сейболт | -,measured,1,1,0,0.0,prop_069
"Щелочное число, ASTM D2896",measured,51,51,0,0.0,prop_070
"Щелочное число, ASTM D2896",typical,25,22,3,0.12,prop_070
"Щелочное число, ГОСТ 11362",measured,20,20,0,0.0,prop_071
"Энергия ВЗМО, эВ",typical,13,13,0,0.0,prop_072
"Энергия НСМО, эВ",typical,13,13,0,0.0,prop_073
"Энергия диссоциации связи Х-Н, ккал/моль",typical,13,13,0,0.0,prop_074
