scenario_id,target_viscosity_delta_pct,target_oxidation_acm,temperature_c,time_h,biofuel_pct,catalyst_category,severity_exp,temperature_x_time,temperature_x_biofuel,interaction__biofuel_x_zddp,base_oil__kv40__wm,base_oil__kv100__wm,base_oil__ccs_m35__wm,base_oil__pour_point_c__max,catcount__base_oil__группа_по_api__1,textnum__base_oil__происхождение__origin_is_mineral__wm,family_total_dose__antiwear,antiwear__sulfur_pct__wm,antiwear__chain_length__wm,textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__wm,textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__wm,textnum__antioxidant__тип_ао__ao_type_is_phenol__wm,textnum__antioxidant__тип_ао__ao_type_is_diphenylamine__wm,antioxidant__ionization_ev__wm,antioxidant__bde_xh_kcal__wm,detergent__tbn_astm__wm,severity_x_biofuel,severity_x_catalyst,regime_load,base_oil_visc_ratio,antiwear_severity,antioxidant_balance
train_108,11.68,11.28,160.0,168.0,7.0,1.0,456.6713471811196,26880.0,1120.0,657.482,17.43976405102435,3.3526581626079115,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,6.5,372.38,410.9,3196.699430267837,456.6713471811196,776.3412902079033,5.2017722073575765,42893.31295533384,-1.0
train_109,178.68,92.78,150.0,168.0,7.0,1.0,168.0,25200.0,1050.0,657.482,15.82463737139064,3.2599160526606923,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,6.5,372.38,410.9,1176.0,168.0,285.59999999999997,4.854308244678515,15779.568000000001,-1.0
train_11,-15.32,6.53,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,27.87025387341957,5.208425555433751,,-19.0,0.0,0.0,31.092,15.0,20.0,0.0,0.0,0.0,1.0,7.18,361.94,377.7,0.0,456.6713471811196,456.6713471811196,5.350993995554684,14198.825526555369,-1.0
train_110,775.51,107.79,150.0,216.0,7.0,1.0,216.0,32400.0,1050.0,657.482,15.82463737139064,3.2599160526606923,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,6.5,372.38,410.9,1512.0,216.0,367.2,4.854308244678515,20288.016,-1.0
train_111,12.98,8.58,160.0,168.0,7.0,1.0,456.6713471811196,26880.0,1120.0,657.482,15.82463737139064,3.2599160526606923,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,6.5,372.38,410.9,3196.699430267837,456.6713471811196,776.3412902079033,4.854308244678515,42893.31295533384,-1.0
train_112,65.88,88.46,150.0,168.0,7.0,1.0,168.0,25200.0,1050.0,657.482,19.586834664849427,3.651822799615286,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,6.5,372.38,410.9,1176.0,168.0,285.59999999999997,5.363577517209452,15779.568000000001,-1.0
train_113,176.84,103.13,150.0,216.0,7.0,1.0,216.0,32400.0,1050.0,657.482,19.586834664849427,3.651822799615286,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,6.5,372.38,410.9,1512.0,216.0,367.2,5.363577517209452,20288.016,-1.0
train_114,63.8,45.59,150.0,168.0,7.0,1.0,168.0,25200.0,1050.0,657.482,21.911657309037945,3.916412919924614,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,6.5,372.38,410.9,1176.0,168.0,285.59999999999997,5.594828164712447,15779.568000000001,-1.0
train_115,177.56,53.59,150.0,216.0,7.0,1.0,216.0,32400.0,1050.0,657.482,21.911657309037945,3.916412919924614,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,6.5,372.38,410.9,1512.0,216.0,367.2,5.594828164712447,20288.016,-1.0
train_116,12.8,15.78,160.0,168.0,7.0,1.0,456.6713471811196,26880.0,1120.0,657.482,21.911657309037945,3.916412919924614,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,6.5,372.38,410.9,3196.699430267837,456.6713471811196,776.3412902079033,5.594828164712447,42893.31295533384,-1.0
train_117,482.89,91.23,150.0,168.0,7.0,1.0,168.0,25200.0,1050.0,657.482,17.43976405102435,3.3526581626079115,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,6.5,372.38,410.9,1176.0,168.0,285.59999999999997,5.2017722073575765,15779.568000000001,-1.0
train_118,754.93,103.98,150.0,216.0,7.0,1.0,216.0,32400.0,1050.0,657.482,17.43976405102435,3.3526581626079115,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,6.5,372.38,410.9,1512.0,216.0,367.2,5.2017722073575765,20288.016,-1.0
train_119,11.5,12.88,160.0,168.0,7.0,1.0,456.6713471811196,26880.0,1120.0,657.482,17.43976405102435,3.3526581626079115,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,6.5,372.38,410.9,3196.699430267837,456.6713471811196,776.3412902079033,5.2017722073575765,42893.31295533384,-1.0
train_12,-31.67,83.37,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,27.87025387341957,5.208425555433751,,-19.0,0.0,0.0,31.092,19.0,,0.0,0.0,0.0,1.0,7.18,361.94,377.7,0.0,456.6713471811196,456.6713471811196,5.350993995554684,14198.825526555369,-1.0
train_120,78.94,25.27,160.0,168.0,5.0,1.0,456.6713471811196,26880.0,800.0,63.83,17.1209433514694,3.665582227911968,4484.605245231608,0.0,0.0,0.0,12.766,16.58,20.0,0.0,0.0,0.6879145587408656,0.3120854412591343,7.180000000000001,357.2965767284992,199.2866181192546,2283.356735905598,456.6713471811196,685.0070207716794,4.670729583175121,5829.866418114173,0.3758291174817313
train_121,47.13,28.09,160.0,168.0,5.0,1.0,456.6713471811196,26880.0,800.0,63.83,16.89056950679697,3.6297018452853615,4489.074103334835,0.0,0.0,0.0,12.766,16.58,20.0,0.0,0.0,0.6879145587408656,0.3120854412591343,7.180000000000001,357.2965767284992,199.2866181192546,2283.356735905598,456.6713471811196,685.0070207716794,4.653431666497958,5829.866418114173,0.3758291174817313
train_122,12.58,69.1,160.0,168.0,5.0,1.0,456.6713471811196,26880.0,800.0,63.83,17.544730621392098,3.7302463643428063,4490.572352535797,0.0,0.0,0.0,12.766,,,,,0.3951383896477354,0.6048616103522645,7.179999999999999,359.2728158698778,186.96582834216665,2283.356735905598,456.6713471811196,685.0070207716794,4.703370476840642,5829.866418114173,-0.2097232207045291
train_123,5.77,65.59,160.0,168.0,5.0,1.0,456.6713471811196,26880.0,800.0,63.83,17.554911135882136,3.7318348034396336,4490.352562504134,0.0,0.0,0.0,12.766,,,,,0.3951383896477354,0.6048616103522645,7.179999999999999,359.2728158698778,176.5041568721998,2283.356735905598,456.6713471811196,685.0070207716794,4.704096526379401,5829.866418114173,-0.2097232207045291
train_124,9.99,79.18,160.0,168.0,5.0,1.0,456.6713471811196,26880.0,800.0,63.83,16.902688836366067,3.63007026085315,4505.380255681817,0.0,0.0,0.0,12.766,,,,,0.3951383896477354,0.6048616103522645,7.179999999999999,359.2728158698778,139.48199634052386,2283.356735905598,456.6713471811196,685.0070207716794,4.65629798371824,5829.866418114173,-0.2097232207045291
train_125,64.3,148.95,154.0,216.0,7.0,1.0,322.2341346905144,33264.0,1078.0,89.362,16.298836072448953,3.535852690624098,4521.246995495991,0.0,0.0,0.0,12.766,,,,,0.4382724663105015,0.5617275336894985,7.179999999999999,358.9816608524041,275.9441107576991,2255.6389428336006,322.2341346905144,547.7980289738745,4.609591376831967,4113.640963459106,-0.12345506737899697
train_126,37.1,85.72,160.0,168.0,5.0,1.0,456.6713471811196,26880.0,800.0,63.83,16.298836072448953,3.535852690624098,4521.246995495991,0.0,0.0,0.0,12.766,,,,,0.4382724663105015,0.5617275336894985,7.179999999999999,358.9816608524041,275.9441107576991,2283.356735905598,456.6713471811196,685.0070207716794,4.609591376831967,5829.866418114173,-0.12345506737899697
train_127,30.3,24.4,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,16.298836072448953,3.535852690624098,4521.246995495991,0.0,0.0,0.0,12.766,,,,,0.4382724663105015,0.5617275336894985,7.179999999999999,358.9816608524041,275.9441107576991,0.0,456.6713471811196,456.6713471811196,4.609591376831967,5829.866418114173,-0.12345506737899697
train_128,-23.02,15.94,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,17.605368572169855,3.5986000172965498,3174.124948842505,-18.0,0.0,0.0,12.766,16.58,20.0,0.0,0.0,0.9960356922084552,0.0039643077915446,7.18,355.21675907759294,121.5095718057916,0.0,456.6713471811196,456.6713471811196,4.892282689809994,5829.866418114173,0.9920713844169107
train_129,-23.13,15.81,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,17.53687378810989,3.5862006697172104,3155.14078992476,-18.0,0.0,0.0,12.766,16.58,20.0,0.0,0.0,0.9960356922084552,0.0039643077915446,7.18,355.21675907759294,121.5095718057916,0.0,456.6713471811196,456.6713471811196,4.890098297118649,5829.866418114173,0.9920713844169107
train_13,-31.73,8.14,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,27.87025387341957,5.208425555433751,,-19.0,0.0,0.0,31.092,,,,,0.0,1.0,7.18,361.94,377.7,0.0,456.6713471811196,456.6713471811196,5.350993995554684,14198.825526555369,-1.0
train_130,15.22,43.24,150.0,216.0,0.0,1.0,216.0,32400.0,0.0,0.0,17.31673594141365,3.652951615859247,4620.384663477702,-20.0,0.0,0.0,12.766,16.58,20.0,0.0,0.0,0.6879145587408656,0.3120854412591343,7.180000000000001,357.2965767284992,199.2866181192546,0.0,216.0,216.0,4.74047777316109,2757.456,0.3758291174817313
train_131,0.2,41.28,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,26.157541803484055,4.532368358586858,509.7170494245517,-16.0,1.0,0.1583784995582281,26.586,17.6,,1.0,0.0,0.535201554761457,0.464798445238543,7.179999999999999,358.32738950536014,247.55049120883757,0.0,456.6713471811196,456.6713471811196,5.771274471530307,12141.064436157245,0.07040310952291401
train_132,14.15,17.37,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,21.19401532494336,4.020684729619131,,-25.0,0.0,0.0,92.202,17.31400793909026,20.0,0.7196156265590767,0.0,0.0176998573945138,0.982300142605486,6.512035903028269,372.0757394513883,149.28620282428054,0.0,456.6713471811196,456.6713471811196,5.271245260493482,42106.011552793585,-0.9646002852109722
train_133,16.5,20.31,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,21.164007118511147,4.011415528006515,,-25.0,0.0,0.0,81.319,17.6,,1.0,0.0,0.3958595928344982,0.6041404071655017,7.179999999999999,359.26794774836713,177.87895256916997,0.0,456.6713471811196,456.6713471811196,5.275944855562909,37136.05728142147,-0.20828081433100348
train_134,-18.6,16.57,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,20.868361357695,3.920093836751496,,-25.0,0.0,0.0,158.552,17.173155810081237,20.0,0.5815253040012109,0.0,0.3457998411321882,0.6542001588678117,7.0639419622361,361.38768329920345,152.0133956497778,0.0,456.6713471811196,456.6713471811196,5.3234341387573,72406.15543826087,-0.3084003177356235
train_135,16.21,17.9,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,21.08371537564236,3.986614300576941,,-25.0,0.0,0.0,92.202,17.31400793909026,20.0,0.7196156265590767,0.0,0.0032754122022983,0.9967245877977016,7.0031765946816185,364.6326503081108,152.0133956497778,0.0,456.6713471811196,456.6713471811196,5.288626836208142,42106.011552793585,-0.9934491755954032
train_136,15.76,16.22,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,21.19401532494336,4.020684729619131,,-25.0,0.0,0.0,92.202,17.31400793909026,20.0,0.7196156265590767,0.0,0.0046789072201525,0.9953210927798476,7.003425580982792,364.6193540447046,152.0133956497778,0.0,456.6713471811196,456.6713471811196,5.271245260493482,42106.011552793585,-0.9906421855596951
train_137,-27.13,5.61,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,21.84334276798941,4.476501276515271,3021.0,-21.0,0.0,0.0,90.699,17.6,,1.0,0.0,0.3233479012582845,0.6766520987417155,7.18,359.7574016665066,259.66490135181226,0.0,456.6713471811196,456.6713471811196,4.8795569170469095,41419.63451798036,-0.353304197483431
train_138,-26.8,16.45,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,21.38584574118123,4.494619970646288,3021.0,-21.0,0.0,0.0,26.586,17.6,,1.0,0.0,0.3233479012582845,0.6766520987417155,7.18,359.7574016665066,259.66490135181226,0.0,456.6713471811196,456.6713471811196,4.758098767159202,12141.064436157245,-0.353304197483431
train_139,2.68,134.0,160.0,168.0,5.0,2.0,456.6713471811196,26880.0,800.0,155.45999999999998,32.3362109451941,5.127478083634733,30096.149824759486,-15.0,2.0,0.3144366830426852,31.092,,,,,0.3066758097696744,0.6933241902303254,7.179999999999999,359.8699382840547,277.0152507002032,2283.356735905598,913.3426943622392,685.0070207716794,6.306455223748478,14198.825526555369,-0.38664838046065103
train_14,-30.7,76.38,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,26.361482286158367,4.715751773073609,,-18.0,0.0,0.0,93.926,16.58,20.0,0.0,0.0,0.3880013634814225,0.6119986365185774,7.179999999999999,359.3209907965004,224.7751829280584,0.0,456.6713471811196,456.6713471811196,5.590091157189263,42893.31295533384,-0.22399727303715494
train_140,20.06,122.71,160.0,168.0,5.0,2.0,456.6713471811196,26880.0,800.0,155.45999999999998,33.53791372233507,5.349979112467756,32457.332791875862,-15.0,2.0,0.3384796970976276,31.092,,,,,0.3066758097696744,0.6933241902303254,7.179999999999999,359.8699382840547,277.0152507002032,2283.356735905598,913.3426943622392,685.0070207716794,6.268793394758735,14198.825526555369,-0.38664838046065103
train_141,2.72,134.08,160.0,168.0,5.0,2.0,456.6713471811196,26880.0,800.0,155.45999999999998,38.16183168993116,5.568619437098271,38259.65851103552,-15.0,2.0,0.3690561675744785,31.092,,,,,0.3066758097696744,0.6933241902303254,7.179999999999999,359.8699382840547,277.0152507002032,2283.356735905598,913.3426943622392,685.0070207716794,6.853014848832398,14198.825526555369,-0.38664838046065103
train_142,48.9,93.48,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,26.6854621574336,4.45974808286558,4719.0,-15.0,2.0,0.2076107916364474,93.926,16.58,20.0,0.0,0.0,0.2796953067409288,0.7203046932590711,7.18,360.0520566794987,398.0625797560104,0.0,456.6713471811196,456.6713471811196,5.98362545632556,42893.31295533384,-0.4406093865181423
train_143,7.1,14.85,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,36.55924452897416,6.066642896694513,,-19.0,0.0,0.0,54.926,,,,,,,,,377.7,0.0,456.6713471811196,456.6713471811196,6.026272709886044,25083.130415270174,
train_144,4.7,17.01,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,26.167921345437787,4.905331948295159,,-19.0,0.0,0.0,54.926,,,,,0.5894071146245059,0.4105928853754941,7.179999999999999,357.9615019762846,274.7907329080571,0.0,456.6713471811196,456.6713471811196,5.334587265706332,25083.130415270174,0.1788142292490118
train_145,3.74,112.26,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,39.87413018792408,5.916885290914676,,-15.0,2.0,0.655821551234677,15.837,,,,,,,,,377.7,0.0,456.6713471811196,456.6713471811196,6.739040597787225,7232.304125307391,
train_146,13.93,65.64,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,39.66928652849272,5.900987045061835,,-15.0,2.0,0.665474004179596,14.449,,,,,,,,,377.7,0.0,456.6713471811196,456.6713471811196,6.72248324315327,6598.444295419997,
train_147,10.1,16.13,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,35.39089373946592,5.969663748630168,,-19.0,0.0,0.0,26.586,17.6,,1.0,0.0,0.0074323253315486,0.9925676746684514,7.180000000000001,361.889831804012,192.4144709004885,0.0,456.6713471811196,456.6713471811196,5.928456815944937,12141.064436157245,-0.9851353493369028
train_148,11.04,22.21,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,32.18777956215439,5.634816357346667,,-19.0,0.0,0.0,31.092,17.6,,1.0,0.0,0.5102576911635113,0.4897423088364887,7.18,358.4957605846463,163.9963903717917,0.0,456.6713471811196,456.6713471811196,5.712303209347365,14198.825526555369,0.020515382327022547
train_149,12.45,17.35,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,29.43258437619933,5.270183358793561,,-19.0,0.0,0.0,54.926,,,,,,,,,377.7,0.0,456.6713471811196,456.6713471811196,5.584736312274526,25083.130415270174,
train_15,-29.38,60.24,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,26.361482286158367,4.715751773073609,,-18.0,0.0,0.0,93.926,16.58,20.0,0.0,0.0,0.3880013634814225,0.6119986365185774,7.001519372798545,364.6288494489263,224.7751829280584,0.0,456.6713471811196,456.6713471811196,5.590091157189263,42893.31295533384,-0.22399727303715494
train_150,11.1,17.0,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,33.33684394455539,5.706514642311758,,-19.0,0.0,0.0,54.926,,,,,0.5894071146245059,0.4105928853754941,7.179999999999999,357.9615019762846,274.7907329080571,0.0,456.6713471811196,456.6713471811196,5.841892299263487,25083.130415270174,0.1788142292490118
train_151,-17.02,19.11,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,16.291464921156926,3.5431420018551307,3074.2409274567226,-20.0,0.0,0.0,10.313,,,,,,,,,377.7,0.0,456.6713471811196,456.6713471811196,4.59802765811446,4709.6516034788865,
train_152,16.58,38.8,160.0,168.0,5.0,1.0,456.6713471811196,26880.0,800.0,129.26,17.5046569181658,3.461961518637981,,-19.0,0.0,0.0,25.852,16.58,20.0,0.0,0.0,0.0176998573945138,0.982300142605486,6.512035903028269,372.0757394513883,152.0133956497778,2283.356735905598,456.6713471811196,685.0070207716794,5.056282926291034,11805.867667326303,-0.9646002852109722
train_153,10.77,45.93,150.0,168.0,7.0,2.0,168.0,25200.0,1050.0,180.964,17.5046569181658,3.461961518637981,,-19.0,0.0,0.0,25.852,16.58,20.0,0.0,0.0,0.0176998573945138,0.982300142605486,6.512035903028269,372.0757394513883,152.0133956497778,1176.0,336.0,285.59999999999997,5.056282926291034,4343.136,-0.9646002852109722
train_154,29.31,75.09,150.0,216.0,7.0,2.0,216.0,32400.0,1050.0,180.964,17.5046569181658,3.461961518637981,,-19.0,0.0,0.0,25.852,16.58,20.0,0.0,0.0,0.0176998573945138,0.982300142605486,6.512035903028269,372.0757394513883,152.0133956497778,1512.0,432.0,367.2,5.056282926291034,5584.032,-0.9646002852109722
train_155,36.3,61.83,160.0,168.0,5.0,2.0,456.6713471811196,26880.0,800.0,129.26,17.5046569181658,3.461961518637981,,-19.0,0.0,0.0,25.852,16.58,20.0,0.0,0.0,0.0176998573945138,0.982300142605486,6.512035903028269,372.0757394513883,152.0133956497778,2283.356735905598,913.3426943622392,685.0070207716794,5.056282926291034,11805.867667326303,-0.9646002852109722
train_156,32.46,45.2,150.0,168.0,7.0,1.0,168.0,25200.0,1050.0,180.964,20.36505536556833,3.965617488398812,,-19.0,0.0,0.0,25.852,16.58,20.0,0.0,0.0,0.0176998573945138,0.982300142605486,6.512035903028269,372.0757394513883,150.41833370823025,1176.0,168.0,285.59999999999997,5.135405879448823,4343.136,-0.9646002852109722
train_157,79.9,52.89,150.0,216.0,7.0,1.0,216.0,32400.0,1050.0,180.964,20.36505536556833,3.965617488398812,,-19.0,0.0,0.0,25.852,16.58,20.0,0.0,0.0,0.0176998573945138,0.982300142605486,6.512035903028269,372.0757394513883,150.41833370823025,1512.0,216.0,367.2,5.135405879448823,5584.032,-0.9646002852109722
train_158,36.63,47.24,150.0,168.0,7.0,1.0,168.0,25200.0,1050.0,180.964,20.36505536556833,3.965617488398812,,-19.0,0.0,0.0,25.852,16.58,20.0,0.0,0.0,0.0176998573945138,0.982300142605486,6.512035903028269,372.0757394513883,147.73673927170032,1176.0,168.0,285.59999999999997,5.135405879448823,4343.136,-0.9646002852109722
train_159,95.96,57.58,150.0,216.0,7.0,1.0,216.0,32400.0,1050.0,180.964,20.36505536556833,3.965617488398812,,-19.0,0.0,0.0,25.852,16.58,20.0,0.0,0.0,0.0176998573945138,0.982300142605486,6.512035903028269,372.0757394513883,147.73673927170032,1512.0,216.0,367.2,5.135405879448823,5584.032,-0.9646002852109722
train_16,-31.38,68.26,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,26.11091589841517,4.700604476348923,,-18.0,0.0,0.0,93.926,16.58,20.0,0.0,0.0,0.489972160672689,0.510027839327311,6.954612806090563,365.33550707346177,224.7751829280584,0.0,456.6713471811196,456.6713471811196,5.5547996071126935,42893.31295533384,-0.02005567865462199
train_160,48.52,45.28,160.0,168.0,5.0,1.0,456.6713471811196,26880.0,800.0,129.26,20.36505536556833,3.965617488398812,,-19.0,0.0,0.0,25.852,16.58,20.0,0.0,0.0,0.0176998573945138,0.982300142605486,6.512035903028269,372.0757394513883,147.73673927170032,2283.356735905598,456.6713471811196,685.0070207716794,5.135405879448823,11805.867667326303,-0.9646002852109722
train_161,35.0,42.16,160.0,168.0,5.0,2.0,456.6713471811196,26880.0,800.0,406.595,17.588686371362865,3.4943612438756126,,-19.0,0.0,0.0,81.319,17.6,,1.0,0.0,0.0176998573945138,0.982300142605486,6.512035903028269,372.0757394513883,152.0133956497778,2283.356735905598,913.3426943622392,685.0070207716794,5.033448216663246,37136.05728142147,-0.9646002852109722
train_162,30.02,70.33,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,28.886521897285363,5.233685359230528,4047.0,-11.0,0.0,0.0,60.489,,,,,,,,,410.9,0.0,456.6713471811196,456.6713471811196,5.519346295118578,27623.593119638743,
train_163,-2.51,76.57,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,34.220956849309225,5.833354043619441,12225.179889715597,0.0,0.0,0.0,60.489,,,,,,,,,400.0,0.0,456.6713471811196,456.6713471811196,5.866428917809355,27623.593119638743,
train_164,4.36,127.51,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,45.44516159484673,6.753293066044721,15037.92297870872,0.0,2.0,0.3563083074189249,60.489,,,,,,,,,400.0,0.0,456.6713471811196,456.6713471811196,6.729333548893817,27623.593119638743,
train_165,141.4,50.69,150.0,216.0,7.0,2.0,216.0,32400.0,1050.0,72.191,20.89019852393287,3.927160344888763,,-20.0,0.0,0.0,10.313,,,,,,,,,400.0,1512.0,432.0,367.2,5.3194157328263065,2227.608,
train_166,67.5,47.54,160.0,168.0,5.0,2.0,456.6713471811196,26880.0,800.0,51.565000000000005,20.89019852393287,3.927160344888763,,-20.0,0.0,0.0,10.313,,,,,,,,,400.0,2283.356735905598,913.3426943622392,685.0070207716794,5.3194157328263065,4709.6516034788865,
