scenario_id,"Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс","Дозировка катализатора, категория","Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Oxidation EOT | DIN 51453 Daimler Oxidation Test (DOT), A/cm",amine_share,phenol_share,ao_total_share,amine_phenol_interaction,amine_to_phenol_ratio,both_ao_present,ao_group,share__Базовое_масло_1,share__Базовое_масло_2,share__Базовое_масло_14,share__Базовое_масло_3,share__Базовое_масло_5,share__Базовое_масло_7,dominant_base_oil,dominant_base_oil_share
train_108,160,168,7,1,11.68,11.28,0.0739363409155005,0.0,0.0739363409155005,0.0,73936.3409155005,False,amine_only,0.07471238658355132,0.0,0.16392457380699998,0.0,0.0,0.0,Базовое_масло_14,0.16392457380699998
train_109,150,168,7,1,178.68,92.78,0.066211946506516,0.0,0.066211946506516,0.0,66211.946506516,False,amine_only,0.06690691590347764,0.0,0.14679878632913335,0.0,0.0,0.0,Базовое_масло_8,0.17350372566300779
train_11,160,168,0,1,-15.32,6.53,0.38797228480477614,0.0,0.38797228480477614,0.0,387972.28480477614,False,amine_only,0.3501571417592596,0.0,0.0,0.0,0.09260644989058726,0.0,Базовое_масло_1,0.17530305910714358
train_110,150,216,7,1,775.51,107.79,0.066211946506516,0.0,0.066211946506516,0.0,66211.946506516,False,amine_only,0.06690691590347764,0.0,0.14679878632913335,0.0,0.0,0.0,Базовое_масло_8,0.17350372566300779
train_111,160,168,7,1,12.98,8.58,0.066211946506516,0.0,0.066211946506516,0.0,66211.946506516,False,amine_only,0.06690691590347764,0.0,0.14679878632913335,0.0,0.0,0.0,Базовое_масло_8,0.17350372566300779
train_112,150,168,7,1,65.88,88.46,0.06326461664944173,0.0,0.06326461664944173,0.0,63264.616649441734,False,amine_only,0.06392865048021794,0.0,0.14026424885125477,0.0,0.0,0.0,Базовое_масло_14,0.14026424885125477
train_113,150,216,7,1,176.84,103.13,0.06326461664944173,0.0,0.06326461664944173,0.0,63264.616649441734,False,amine_only,0.06392865048021794,0.0,0.14026424885125477,0.0,0.0,0.0,Базовое_масло_14,0.14026424885125477
train_114,150,168,7,1,63.8,45.59,0.10707825716869712,0.0,0.10707825716869712,0.0,107078.25716869712,False,amine_only,0.07298467080613166,0.0,0.16013383594646563,0.0,0.0,0.0,Базовое_масло_14,0.16013383594646563
train_115,150,216,7,1,177.56,53.59,0.10707825716869712,0.0,0.10707825716869712,0.0,107078.25716869712,False,amine_only,0.07298467080613166,0.0,0.16013383594646563,0.0,0.0,0.0,Базовое_масло_14,0.16013383594646563
train_116,160,168,7,1,12.8,15.78,0.10707825716869712,0.0,0.10707825716869712,0.0,107078.25716869712,False,amine_only,0.07298467080613166,0.0,0.16013383594646563,0.0,0.0,0.0,Базовое_масло_14,0.16013383594646563
train_117,150,168,7,1,482.89,91.23,0.0739363409155005,0.0,0.0739363409155005,0.0,73936.3409155005,False,amine_only,0.07471238658355132,0.0,0.16392457380699998,0.0,0.0,0.0,Базовое_масло_14,0.16392457380699998
train_118,150,216,7,1,754.93,103.98,0.0739363409155005,0.0,0.0739363409155005,0.0,73936.3409155005,False,amine_only,0.07471238658355132,0.0,0.16392457380699998,0.0,0.0,0.0,Базовое_масло_14,0.16392457380699998
train_119,160,168,7,1,11.5,12.88,0.0739363409155005,0.0,0.0739363409155005,0.0,73936.3409155005,False,amine_only,0.07471238658355132,0.0,0.16392457380699998,0.0,0.0,0.0,Базовое_масло_14,0.16392457380699998
train_12,160,168,0,1,-31.67,83.37,0.38797228480477614,0.0,0.38797228480477614,0.0,387972.28480477614,False,amine_only,0.3501571417592596,0.0,0.0,0.0,0.09260644989058726,0.0,Базовое_масло_1,0.17530305910714358
train_120,160,168,5,1,78.94,25.27,0.037676392167120515,0.08304821457875014,0.12072460674587066,0.0031289571012481656,0.453663437495781,True,both,0.2001132660728629,0.0,0.10398886587100747,0.0,0.009969388548281824,0.0,Базовое_масло_1,0.11007414115815176
train_121,160,168,5,1,47.13,28.09,0.04222076582518258,0.09306515348857788,0.13528591931376047,0.003929282051925921,0.45366402545437085,True,both,0.20875469757178056,0.0,0.11653158123238844,0.0,0.011171855772448102,0.0,Базовое_масло_1,0.12335083775091739
train_122,160,168,5,1,12.58,69.1,0.08202063036550963,0.053581677603319375,0.135602307968829,0.004394802973065765,1.5307303411136095,True,both,0.2252633631273343,0.0,0.10270217575414162,0.0,0.009846033864019936,0.0,Базовое_масло_1,0.11944530759716561
train_123,160,168,5,1,5.77,65.59,0.07733173405576561,0.05051855885789522,0.12785029291366085,0.003906687758479295,1.5307286089589474,True,both,0.21308880011672887,0.0,0.09683097175643646,0.0,0.009283162893083929,0.0,Базовое_масло_1,0.11261694429987373
train_124,160,168,5,1,9.99,79.18,0.1006649278240738,0.06576145153474793,0.1664263793588217,0.006619871772351727,1.5307356321849392,True,both,0.22565670222121187,0.0,0.1260476426917762,0.0,0.012084158386226453,0.0,Базовое_масло_1,0.146596694204988
train_125,154,216,7,1,64.3,148.95,0.09161490430804793,0.07148001059902365,0.16309491490707156,0.006548634330967803,1.281667726019801,True,both,0.20402957972920466,0.0,0.1370086369037846,0.0,0.013134986369200406,0.0,Базовое_масло_1,0.15934461619992488
train_126,160,168,5,1,37.1,85.72,0.09161490430804793,0.07148001059902365,0.16309491490707156,0.006548634330967803,1.281667726019801,True,both,0.20402957972920466,0.0,0.1370086369037846,0.0,0.013134986369200406,0.0,Базовое_масло_1,0.15934461619992488
train_127,160,168,0,1,30.3,24.4,0.09161490430804793,0.07148001059902365,0.16309491490707156,0.006548634330967803,1.281667726019801,True,both,0.20402957972920466,0.0,0.1370086369037846,0.0,0.013134986369200406,0.0,Базовое_масло_1,0.15934461619992488
train_128,160,168,0,1,-23.02,15.94,0.0003950044655589581,0.09924520672123531,0.09964021118679427,3.920229984020987e-05,0.003980045974638148,True,both,0.2486225056137499,0.0,0.11285210631110017,0.014777184006470039,0.010819105361750446,0.0,Базовое_масло_1,0.1291664602377793
train_129,160,168,0,1,-23.13,15.81,0.0003924203020971207,0.09859593346147963,0.09898835376357674,3.869104599450145e-05,0.003980045710553802,True,both,0.24183466468017745,0.0,0.11211381518999129,0.014680510013368894,0.010748325562524527,0.0,Базовое_масло_1,0.12316011413444718
train_13,160,168,0,1,-31.73,8.14,0.38797228480477614,0.0,0.38797228480477614,0.0,387972.28480477614,False,amine_only,0.3501571417592596,0.0,0.0,0.0,0.09260644989058726,0.0,Базовое_масло_1,0.17530305910714358
train_130,150,216,0,1,15.22,43.24,0.036621505420189084,0.08072297970682167,0.11734448512701076,0.002956197038867183,0.45366328014542057,True,both,0.19009578725562976,0.0,0.10107732179456891,0.01323535937310737,0.00969025949027796,0.0,Базовое_масло_1,0.10699221781016925
train_131,160,168,0,1,0.2,41.28,0.023209039441906183,0.026724517091388334,0.04993355653329452,0.0006202503712399277,0.8684224654117074,True,both,0.14024032343646547,0.07519303040121211,0.13191806401424974,0.017273736126306758,0.11014276345343244,0.0,Базовое_масло_1,0.14024032343646547
train_132,160,168,0,1,14.15,17.37,0.029938741908102636,0.0005394598243048382,0.030478201732407475,1.6150748449652945e-05,55.39494438205668,True,both,0.1869829111399732,0.0,0.10773984230387695,0.05974197968972112,0.0,0.0,Базовое_масло_14,0.10773984230387695
train_133,160,168,0,1,16.5,20.31,0.07380992749824618,0.04836353850868201,0.12217346600692819,0.0035697092708844563,1.5261166502187633,True,both,0.2186594408607503,0.0,0.13109891255146755,0.0726946355546361,0.0,0.0,Базовое_масло_14,0.13109891255146755
train_134,160,168,0,1,-18.6,16.57,0.0987588313079907,0.052202353841990276,0.15096118514998097,0.005155443456961157,1.8918100857449711,True,both,0.102597191143499,0.0,0.09272020788090414,0.051413559344409464,0.0,0.0,Базовое_масло_14,0.09272020788090414
train_135,160,168,0,1,16.21,17.9,0.1083591144415649,0.0003560870976970218,0.10871520153926192,3.8585282570516286e-05,303.4528974595002,True,both,0.15237147971691678,0.0,0.10173348027458541,0.05641143872465294,0.0,0.0,Базовое_масло_14,0.10173348027458541
train_136,160,168,0,1,15.76,16.22,0.1057842552680017,0.0004972814495165057,0.10628153671751821,5.260454779569594e-05,212.29820088756395,True,both,0.1723634066843111,0.0,0.09931606124810574,0.055070974553801846,0.0,0.0,Базовое_масло_14,0.09931606124810574
train_137,160,168,0,1,-27.13,5.61,0.08695403965907758,0.04155223383179762,0.1285062734908752,0.0036131345885333952,2.0925938041562984,True,both,0.143788842875746,0.0,0.0,0.10097141904944114,0.0,0.0,Базовое_масло_1,0.143788842875746
train_138,160,168,0,1,-26.8,16.45,0.12652495835410016,0.06046176434931368,0.18698672270341385,0.007649922216312332,2.092609554255955,True,both,0.029832383672113185,0.0,0.0,0.19196851525070607,0.0,0.0,Базовое_масло_3,0.19196851525070607
train_139,160,168,5,2,2.68,134.0,0.10060403863037752,0.04449985367281241,0.14510389230318993,0.0044768649979457665,2.26072154413166,True,both,0.11219666374012291,0.07045829675153643,0.0,0.0,0.07027685103892303,0.058485220954053264,Базовое_масло_16,0.09866081357916301
train_14,160,168,0,1,-30.7,76.38,0.04147435630893475,0.02629435073405191,0.06776870704298665,0.001090541271256169,1.5772505462430038,True,both,0.17373614171906596,0.0,0.14111999704315606,0.0,0.14092133409102459,0.0,Базовое_масло_14,0.14111999704315606
train_140,160,168,5,2,20.06,122.71,0.08986222818926685,0.03974846397396807,0.12961069216323493,0.0035718855398015714,2.2607154714870528,True,both,0.13112998816350258,0.10159207163799558,0.0,0.0,0.09368608605091784,0.05853106139503368,Базовое_масло_2,0.10159207163799558
train_141,160,168,5,2,2.72,134.08,0.10886517545659757,0.04815397516676674,0.1570191506233643,0.005242290955462704,2.2607253991842744,True,both,0.04536207320255477,0.04131989572170159,0.0,0.0,0.07604765994532736,0.09214416550759666,Базовое_масло_16,0.10676238178119292
train_142,160,168,0,1,48.9,93.48,0.06531358571897526,0.02536135549716367,0.09067494121613894,0.0016564410662134037,2.5752176577715513,True,both,0.21723366046323017,0.015173143165252832,0.12518920010872972,0.0,0.0,0.07454372880550303,Базовое_масло_1,0.12874371127803466
train_143,160,168,0,1,7.1,14.85,0.0,0.0,0.0,0.0,0.0,False,none,0.3529305234956435,0.0,0.0,0.0,0.24408332926096593,0.0,Базовое_масло_5,0.24408332926096593
train_144,160,168,0,1,4.7,17.01,0.09292414543797306,0.13339284335493398,0.22631698879290704,0.012395415976298644,0.6966149493925349,True,both,0.23121338297523744,0.0,0.0,0.0,0.02622207407491107,0.0,Базовое_масло_1,0.13624028489481227
train_145,160,168,0,1,3.74,112.26,0.0,0.0,0.0,0.0,0.0,False,none,0.13418608739666588,0.17534006804258748,0.008689822784027574,0.0,0.0,0.0969056271335756,Базовое_масло_2,0.17534006804258748
train_146,160,168,0,1,13.93,65.64,0.0,0.0,0.0,0.0,0.0,False,none,0.1533629356161389,0.21408809586370292,0.009931705722985342,0.0,0.0,0.11075463740883608,Базовое_масло_2,0.21408809586370292
train_147,160,168,0,1,10.1,16.13,0.09834723867925682,0.000736422001218063,0.09908366068047489,7.24250703224488e-05,133.36629300022005,True,both,0.1477660411733192,0.0,0.007849351093551771,0.0,0.11668798567641758,0.0,Базовое_масло_5,0.11668798567641758
train_148,160,168,0,1,11.04,22.21,0.11629025916472854,0.1211616764072798,0.23745193557200833,0.014089922750235545,0.9597861537312615,True,both,0.1688002718930554,0.0,0.005994975309711514,0.0,0.08912094576133389,0.0,Базовое_масло_1,0.09440020258698247
train_149,160,168,0,1,12.45,17.35,0.0,0.0,0.0,0.0,0.0,False,none,0.41402721966158074,0.0,0.0,0.0,0.10241183923144484,0.0,Базовое_масло_1,0.23533115182228714
train_15,160,168,0,1,-29.38,60.24,0.04147435630893475,0.02629435073405191,0.06776870704298665,0.001090541271256169,1.5772505462430038,True,both,0.17373614171906596,0.0,0.14111999704315606,0.0,0.14092133409102459,0.0,Базовое_масло_14,0.14111999704315606
train_150,160,168,0,1,11.1,17.0,0.08991022279397161,0.12906634985595924,0.21897657264993087,0.01160438427075398,0.6966147743353569,True,both,0.2129343316271959,0.0,0.0,0.0,0.09730449724217981,0.0,Базовое_масло_1,0.12915016863974868
train_151,160,168,0,1,-17.02,19.11,0.0,0.0,0.0,0.0,0.0,False,none,0.2859502452996523,0.0,0.0,0.0,0.0,0.0,Базовое_масло_16,0.2762070807538909
train_152,160,168,5,1,16.58,38.8,0.038033434344418575,0.0006853163660693695,0.03871875071048794,2.6064935014054893e-05,55.416767288009474,True,both,0.13317061129570265,0.0,0.1368700204945321,0.0,0.0,0.0,Базовое_масло_14,0.1368700204945321
train_153,150,168,7,2,10.77,45.93,0.038033434344418575,0.0006853163660693695,0.03871875071048794,2.6064935014054893e-05,55.416767288009474,True,both,0.13317061129570265,0.0,0.1368700204945321,0.0,0.0,0.0,Базовое_масло_14,0.1368700204945321
train_154,150,216,7,2,29.31,75.09,0.038033434344418575,0.0006853163660693695,0.03871875071048794,2.6064935014054893e-05,55.416767288009474,True,both,0.13317061129570265,0.0,0.1368700204945321,0.0,0.0,0.0,Базовое_масло_14,0.1368700204945321
train_155,160,168,5,2,36.3,61.83,0.038033434344418575,0.0006853163660693695,0.03871875071048794,2.6064935014054893e-05,55.416767288009474,True,both,0.13317061129570265,0.0,0.1368700204945321,0.0,0.0,0.0,Базовое_масло_14,0.1368700204945321
train_156,150,168,7,1,32.46,45.2,0.03209318259677972,0.0005782802329564919,0.032671462829736216,1.8558853108381007e-05,55.401825871020435,True,both,0.1123713600548133,0.0,0.11549297704693388,0.0,0.0,0.0,Базовое_масло_6,0.13176293251113394
train_157,150,216,7,1,79.9,52.89,0.03209318259677972,0.0005782802329564919,0.032671462829736216,1.8558853108381007e-05,55.401825871020435,True,both,0.1123713600548133,0.0,0.11549297704693388,0.0,0.0,0.0,Базовое_масло_6,0.13176293251113394
train_158,150,168,7,1,36.63,47.24,0.03209318259677972,0.0005782802329564919,0.032671462829736216,1.8558853108381007e-05,55.401825871020435,True,both,0.1123713600548133,0.0,0.11549297704693388,0.0,0.0,0.0,Базовое_масло_6,0.13176293251113394
train_159,150,216,7,1,95.96,57.58,0.03209318259677972,0.0005782802329564919,0.032671462829736216,1.8558853108381007e-05,55.401825871020435,True,both,0.1123713600548133,0.0,0.11549297704693388,0.0,0.0,0.0,Базовое_масло_6,0.13176293251113394
train_16,160,168,0,1,-31.38,68.26,0.03987763218877575,0.03830953547911351,0.07818716766788926,0.0015276935651589436,1.0409051110892615,True,both,0.19251903853016478,0.0,0.1356870084890448,0.0,0.1354959938756865,0.0,Базовое_масло_14,0.1356870084890448
train_160,160,168,5,1,48.52,45.28,0.03209318259677972,0.0005782802329564919,0.032671462829736216,1.8558853108381007e-05,55.401825871020435,True,both,0.1123713600548133,0.0,0.11549297704693388,0.0,0.0,0.0,Базовое_масло_6,0.13176293251113394
train_161,160,168,5,2,35.0,42.16,0.0344066686058982,0.0006199664454179778,0.03502663505131618,2.1330980034273038e-05,55.408257337864335,True,both,0.12047182090902947,0.0,0.1238184644224469,0.0,0.0,0.0,Базовое_масло_14,0.1238184644224469
train_162,160,168,0,1,30.02,70.33,0.0,0.0,0.0,0.0,0.0,False,none,0.30298665192579705,0.0,0.0,0.0,0.08139561350740565,0.0,Базовое_масло_1,0.153471962540849
train_163,160,168,0,1,-2.51,76.57,0.0,0.0,0.0,0.0,0.0,False,none,0.2000105059151067,0.0,0.0,0.0,0.1243817407195446,0.0,Базовое_масло_1,0.2000105059151067
train_164,160,168,0,1,4.36,127.51,0.0,0.0,0.0,0.0,0.0,False,none,0.17124778259358825,0.08363863946241737,0.0,0.0,0.18206202032393945,0.11193203408049515,Базовое_масло_5,0.18206202032393945
train_165,150,216,7,2,141.4,50.69,0.0,0.0,0.0,0.0,0.0,False,none,0.24123496013885212,0.0,0.24793633983467186,0.0,0.0,0.0,Базовое_масло_14,0.24793633983467186
train_166,160,168,5,2,67.5,47.54,0.0,0.0,0.0,0.0,0.0,False,none,0.24123496013885212,0.0,0.24793633983467186,0.0,0.0,0.0,Базовое_масло_14,0.24793633983467186
train_167,160,168,0,1,-37.0,41.93,0.38797228480477614,0.0,0.38797228480477614,0.0,387972.28480477614,False,amine_only,0.3501571417592596,0.0,0.0,0.0,0.09260644989058726,0.0,Базовое_масло_1,0.17530305910714358
train_17,160,168,0,1,-35.6,76.37,0.38797228480477614,0.0,0.38797228480477614,0.0,387972.28480477614,False,amine_only,0.3501571417592596,0.0,0.0,0.0,0.09260644989058726,0.0,Базовое_масло_1,0.17530305910714358
train_18,160,168,0,1,-18.1,39.15,0.021246688264887223,0.024464928205738097,0.04571161647062532,0.000519798703010164,0.8684194642533181,True,both,0.15496556082057952,0.1268038120238373,0.12076423884899921,0.01581322172183001,0.10083006518153824,0.0,Базовое_масло_2,0.1268038120238373
train_19,160,168,0,1,-17.2,39.27,0.02301726760755776,0.026503697540561186,0.04952096514811895,0.0006100426988808672,0.868422194682038,True,both,0.16787951792267142,0.04704196755105462,0.13082805039334877,0.017131006563056883,0.10923267495793311,0.0,Базовое_масло_1,0.13196277001980714
train_2,160,168,0,1,20.5,112.37,0.1152216609707315,0.1152216609707315,0.230443321941463,0.01327603115685419,0.9999913211516591,True,both,0.0,0.037020175022373314,0.0,0.0,0.0,0.11942123692887989,Базовое_масло_7,0.11942123692887989
train_20,160,168,0,1,-17.51,97.66,0.0,0.04341671892708422,0.04341671892708422,0.0,0.0,False,phenol_only,0.0,0.0732897946286501,0.0,0.13124001476726244,0.0,0.0,Базовое_масло_3,0.13124001476726244
train_21,160,168,0,1,-18.94,66.79,0.0,0.05011173776885447,0.05011173776885447,0.0,0.0,False,phenol_only,0.0,0.08459135237124106,0.0,0.022937410102731762,0.0,0.0,Базовое_масло_2,0.08459135237124106
train_22,160,168,0,1,-9.85,70.21,0.0,0.03132148642228056,0.03132148642228056,0.0,0.0,False,phenol_only,0.0,0.21179701387398395,0.0,0.0,0.0,0.16436350828531648,Базовое_масло_2,0.17229752660418512
train_23,160,168,0,1,-9.94,65.94,0.03679568814487992,0.042369138075646066,0.07916482622052598,0.0015590015915988304,0.8684344638949788,True,both,0.0,0.007848985810780631,0.0,0.0,0.0,0.2223374741303582,Базовое_масло_7,0.2223374741303582
train_24,160,168,0,1,-19.12,64.96,0.0,0.02857697573450895,0.02857697573450895,0.0,0.0,False,phenol_only,0.0,0.3235555019967396,0.0,0.0,0.0,0.14996133722973717,Базовое_масло_2,0.16635535604896615
train_25,160,168,0,1,-11.39,24.69,0.0,0.03559189186935604,0.03559189186935604,0.0,0.0,False,phenol_only,0.0,0.21520858174419866,0.0,0.0,0.0,0.1867730073626896,Базовое_масло_2,0.19578875834868964
train_26,160,168,0,1,30.81,98.18,0.021789988478991794,0.025090522207331125,0.046880510686322915,0.0005467221898296329,0.8684203492694156,True,both,0.0,0.2672873903740801,0.0,0.0,0.0,0.1316657261762009,Базовое_масло_2,0.13802138440196562
train_27,160,168,0,1,25.67,97.77,0.021789988478991794,0.025090522207331125,0.046880510686322915,0.0005467221898296329,0.8684203492694156,True,both,0.016217582469257717,0.2672873903740801,0.0,0.0,0.0,0.1316657261762009,Базовое_масло_2,0.13802138440196562
train_28,160,168,0,1,69.8,126.22,0.0,0.029156321187427642,0.029156321187427642,0.0,0.0,False,phenol_only,0.0,0.15872213551183229,0.0,0.0,0.0,0.08955399742487219,Базовое_масло_2,0.10713248930160758
train_29,160,168,0,1,53.13,119.83,0.0,0.031311836475703715,0.031311836475703715,0.0,0.0,False,phenol_only,0.0,0.2411180126501727,0.0,0.0,0.0,0.096174689018117,Базовое_масло_2,0.12606526080665484
train_3,160,168,0,1,-20.3,36.33,0.02254883324842798,0.025964309339335002,0.048513142587762986,0.0005854648817032662,0.8684215140186532,True,both,0.10317596697055177,0.13457523247591602,0.12816551220736166,0.016782366045970543,0.10700963358906317,0.0,Базовое_масло_2,0.13457523247591602
train_30,160,168,0,1,68.02,116.66,0.0,0.03775303755624593,0.03775303755624593,0.0,0.0,False,phenol_only,0.0,0.16270909111010382,0.0,0.0,0.0,0.1159589169826757,Базовое_масло_2,0.1387204121568584
train_31,160,168,0,1,68.02,116.66,0.0,0.03775303755624593,0.03775303755624593,0.0,0.0,False,phenol_only,0.0,0.16270909111010382,0.0,0.0,0.0,0.1159589169826757,Базовое_масло_2,0.1387204121568584
train_32,160,168,0,1,-9.77,60.23,0.0,0.03609450443518041,0.03609450443518041,0.0,0.0,False,phenol_only,0.0,0.19649244454967485,0.0,0.0,0.0,0.11086471219949433,Базовое_масло_2,0.1326262694594069
train_33,160,168,0,1,-9.77,60.23,0.0,0.03609450443518041,0.03609450443518041,0.0,0.0,False,phenol_only,0.0,0.19649244454967485,0.0,0.0,0.0,0.11086471219949433,Базовое_масло_2,0.1326262694594069
train_34,160,168,0,1,-9.77,60.23,0.0,0.03609450443518041,0.03609450443518041,0.0,0.0,False,phenol_only,0.0,0.19649244454967485,0.0,0.0,0.0,0.11086471219949433,Базовое_масло_2,0.1326262694594069
train_35,160,168,0,1,45.82,106.86,0.0,0.03775303755624593,0.03775303755624593,0.0,0.0,False,phenol_only,0.0,0.16270909111010382,0.0,0.0,0.0,0.1159589169826757,Базовое_масло_2,0.1387204121568584
train_36,160,168,0,1,25.34,103.54,0.0,0.10467141134447067,0.10467141134447067,0.0,0.0,False,phenol_only,0.0,0.1448247520252053,0.0,0.0,0.0,0.10884739198386062,Базовое_масло_2,0.1302129708615347
train_37,160,168,0,1,3.81,89.11,0.0,0.03885470334431721,0.03885470334431721,0.0,0.0,False,phenol_only,0.0,0.15048972309708897,0.0,0.0,0.0,0.1193426969360447,Базовое_масло_2,0.14276839192412022
train_38,160,168,0,1,-0.56,73.21,0.0,0.03387395966629964,0.03387395966629964,0.0,0.0,False,phenol_only,0.0,0.22266464303782402,0.0,0.0,0.0,0.17775793827932032,Базовое_масло_7,0.17775793827932032
train_39,160,168,0,1,15.83,96.16,0.0,0.030296954157092038,0.030296954157092038,0.0,0.0,False,phenol_only,0.0,0.25852135106600066,0.0,0.0,0.0,0.1589871441119323,Базовое_масло_7,0.1589871441119323
train_4,160,168,0,1,-20.6,37.95,0.02482517072746054,0.02858544409230249,0.05341061481976303,0.0007096385299116876,0.8684245808014032,True,both,0.1135917307470153,0.02732141631382712,0.14110400688434732,0.018476570282455796,0.11781241158083834,0.0,Базовое_масло_14,0.14110400688434732
train_40,160,168,0,1,0.71,72.96,0.03278463800479786,0.03775053340261119,0.07053517140740906,0.001237637572092638,0.8684319562640658,True,both,0.0,0.3045181688537095,0.0,0.0,0.0,0.11595122544413368,Базовое_масло_2,0.21807046441955846
train_41,160,168,0,1,-12.6,65.25,0.0266438585079583,0.030679608859244676,0.05732346736720298,0.0008174231575252191,0.8684266544446355,True,both,0.0,0.18378476477289474,0.0,0.0,0.0,0.1609951736307019,Базовое_масло_2,0.17845707118804874
train_42,160,168,0,1,-4.77,71.94,0.03448476349284978,0.03970817722396259,0.07419294071681237,0.0013693271003005142,0.8684330903748838,True,both,0.0,0.05760639275140877,0.0,0.0,0.0,0.20837374153172075,Базовое_масло_7,0.20837374153172075
train_43,160,168,0,1,-7.86,70.0,0.03170469391115074,0.036507009970258145,0.06821170388140887,0.0011574435767183627,0.8684311726927731,True,both,0.0,0.11151379864055541,0.0,0.0,0.0,0.19157520670699243,Базовое_масло_7,0.19157520670699243
train_44,160,168,0,1,4.35,27.49,0.020974253213043983,0.0241512273644128,0.045125480577456786,0.000506553958146991,0.8684190032074882,True,both,0.1267366562842133,0.16880680998412928,0.11921574285463718,0.01561045713913902,0.09953717455817992,0.0,Базовое_масло_1,0.1267366562842133
train_45,160,168,0,1,-25.97,30.58,0.022868458553617806,0.026332348350719615,0.049200806904337424,0.0006021802168778577,0.8684219814755488,True,both,0.21035187938384095,0.11123003559509195,0.1299822332989926,0.017020252805349752,0.017020252805349752,0.0,Базовое_масло_1,0.13818236778304885
train_46,160,168,0,1,-23.35,25.82,0.020974253213043983,0.0241512273644128,0.045125480577456786,0.000506553958146991,0.8684190032074882,True,both,0.1929283327816771,0.10261513348666548,0.11921574285463718,0.01561045713913902,0.09953717455817992,0.0,Базовое_масло_1,0.1267366562842133
train_47,160,168,0,1,-12.23,57.42,0.0,0.0,0.0,0.0,0.0,False,none,0.0,0.30573352004728677,0.0,0.2697884393384613,0.0,0.0,Базовое_масло_2,0.30573352004728677
train_48,160,168,0,1,5.59,36.92,0.0,0.0,0.0,0.0,0.0,False,none,0.0,0.2889531265231443,0.0,0.25498091617363655,0.0,0.0,Базовое_масло_2,0.2889531265231443
