expert_label,n_train,n_valid,fold,target_name,scheme_name,expert_style
other,22,15,3,viscosity,dominant_base_oil_moe,direct
Базовое_масло_1,38,0,3,viscosity,dominant_base_oil_moe,direct
Базовое_масло_14,20,22,3,viscosity,dominant_base_oil_moe,direct
Базовое_масло_16,21,0,3,viscosity,dominant_base_oil_moe,direct
Базовое_масло_2,29,0,3,viscosity,dominant_base_oil_moe,direct
other,22,15,3,oxidation,dominant_base_oil_moe,direct
Базовое_масло_1,38,0,3,oxidation,dominant_base_oil_moe,direct
Базовое_масло_14,20,22,3,oxidation,dominant_base_oil_moe,direct
Базовое_масло_16,21,0,3,oxidation,dominant_base_oil_moe,direct
Базовое_масло_2,29,0,3,oxidation,dominant_base_oil_moe,direct
ao_heavy,8,0,3,viscosity,package_type_moe,residual
ao_mo,59,31,3,viscosity,package_type_moe,residual
detergent_heavy,37,5,3,viscosity,package_type_moe,residual
mixed,7,1,3,viscosity,package_type_moe,residual
zddp_heavy,19,0,3,viscosity,package_type_moe,residual
ao_heavy,8,0,3,oxidation,package_type_moe,residual
ao_mo,59,31,3,oxidation,package_type_moe,residual
detergent_heavy,37,5,3,oxidation,package_type_moe,residual
mixed,7,1,3,oxidation,package_type_moe,residual
zddp_heavy,19,0,3,oxidation,package_type_moe,residual
ao_heavy,8,0,3,viscosity,package_type_moe,direct
ao_mo,59,31,3,viscosity,package_type_moe,direct
detergent_heavy,37,5,3,viscosity,package_type_moe,direct
mixed,7,1,3,viscosity,package_type_moe,direct
zddp_heavy,19,0,3,viscosity,package_type_moe,direct
ao_heavy,8,0,3,oxidation,package_type_moe,direct
ao_mo,59,31,3,oxidation,package_type_moe,direct
detergent_heavy,37,5,3,oxidation,package_type_moe,direct
mixed,7,1,3,oxidation,package_type_moe,direct
zddp_heavy,19,0,3,oxidation,package_type_moe,direct
recipe_expert_0,54,34,4,viscosity,recipe_cluster_moe,residual
recipe_expert_1,29,0,4,viscosity,recipe_cluster_moe,residual
recipe_expert_2,33,0,4,viscosity,recipe_cluster_moe,residual
recipe_expert_3,17,0,4,viscosity,recipe_cluster_moe,residual
recipe_expert_0,54,34,4,oxidation,recipe_cluster_moe,residual
recipe_expert_1,29,0,4,oxidation,recipe_cluster_moe,residual
recipe_expert_2,33,0,4,oxidation,recipe_cluster_moe,residual
recipe_expert_3,17,0,4,oxidation,recipe_cluster_moe,residual
recipe_expert_0,54,34,4,viscosity,recipe_cluster_moe,direct
recipe_expert_1,29,0,4,viscosity,recipe_cluster_moe,direct
recipe_expert_2,33,0,4,viscosity,recipe_cluster_moe,direct
recipe_expert_3,17,0,4,viscosity,recipe_cluster_moe,direct
recipe_expert_0,54,34,4,oxidation,recipe_cluster_moe,direct
recipe_expert_1,29,0,4,oxidation,recipe_cluster_moe,direct
recipe_expert_2,33,0,4,oxidation,recipe_cluster_moe,direct
recipe_expert_3,17,0,4,oxidation,recipe_cluster_moe,direct
other,35,2,4,viscosity,dominant_base_oil_moe,residual
Базовое_масло_1,20,18,4,viscosity,dominant_base_oil_moe,residual
Базовое_масло_14,33,9,4,viscosity,dominant_base_oil_moe,residual
Базовое_масло_16,21,0,4,viscosity,dominant_base_oil_moe,residual
Базовое_масло_2,24,5,4,viscosity,dominant_base_oil_moe,residual
other,35,2,4,oxidation,dominant_base_oil_moe,residual
Базовое_масло_1,20,18,4,oxidation,dominant_base_oil_moe,residual
Базовое_масло_14,33,9,4,oxidation,dominant_base_oil_moe,residual
Базовое_масло_16,21,0,4,oxidation,dominant_base_oil_moe,residual
Базовое_масло_2,24,5,4,oxidation,dominant_base_oil_moe,residual
other,35,2,4,viscosity,dominant_base_oil_moe,direct
Базовое_масло_1,20,18,4,viscosity,dominant_base_oil_moe,direct
Базовое_масло_14,33,9,4,viscosity,dominant_base_oil_moe,direct
Базовое_масло_16,21,0,4,viscosity,dominant_base_oil_moe,direct
Базовое_масло_2,24,5,4,viscosity,dominant_base_oil_moe,direct
other,35,2,4,oxidation,dominant_base_oil_moe,direct
Базовое_масло_1,20,18,4,oxidation,dominant_base_oil_moe,direct
Базовое_масло_14,33,9,4,oxidation,dominant_base_oil_moe,direct
Базовое_масло_16,21,0,4,oxidation,dominant_base_oil_moe,direct
Базовое_масло_2,24,5,4,oxidation,dominant_base_oil_moe,direct
ao_heavy,8,0,4,viscosity,package_type_moe,residual
ao_mo,82,8,4,viscosity,package_type_moe,residual
detergent_heavy,20,22,4,viscosity,package_type_moe,residual
mixed,5,3,4,viscosity,package_type_moe,residual
zddp_heavy,18,1,4,viscosity,package_type_moe,residual
ao_heavy,8,0,4,oxidation,package_type_moe,residual
ao_mo,82,8,4,oxidation,package_type_moe,residual
detergent_heavy,20,22,4,oxidation,package_type_moe,residual
mixed,5,3,4,oxidation,package_type_moe,residual
zddp_heavy,18,1,4,oxidation,package_type_moe,residual
ao_heavy,8,0,4,viscosity,package_type_moe,direct
ao_mo,82,8,4,viscosity,package_type_moe,direct
detergent_heavy,20,22,4,viscosity,package_type_moe,direct
mixed,5,3,4,viscosity,package_type_moe,direct
zddp_heavy,18,1,4,viscosity,package_type_moe,direct
ao_heavy,8,0,4,oxidation,package_type_moe,direct
ao_mo,82,8,4,oxidation,package_type_moe,direct
detergent_heavy,20,22,4,oxidation,package_type_moe,direct
mixed,5,3,4,oxidation,package_type_moe,direct
zddp_heavy,18,1,4,oxidation,package_type_moe,direct
recipe_expert_0,57,16,5,viscosity,recipe_cluster_moe,residual
recipe_expert_1,15,0,5,viscosity,recipe_cluster_moe,residual
recipe_expert_2,33,17,5,viscosity,recipe_cluster_moe,residual
recipe_expert_3,29,0,5,viscosity,recipe_cluster_moe,residual
recipe_expert_0,57,16,5,oxidation,recipe_cluster_moe,residual
recipe_expert_1,15,0,5,oxidation,recipe_cluster_moe,residual
recipe_expert_2,33,17,5,oxidation,recipe_cluster_moe,residual
recipe_expert_3,29,0,5,oxidation,recipe_cluster_moe,residual
recipe_expert_0,57,16,5,viscosity,recipe_cluster_moe,direct
recipe_expert_1,15,0,5,viscosity,recipe_cluster_moe,direct
recipe_expert_2,33,17,5,viscosity,recipe_cluster_moe,direct
recipe_expert_3,29,0,5,viscosity,recipe_cluster_moe,direct
recipe_expert_0,57,16,5,oxidation,recipe_cluster_moe,direct
recipe_expert_1,15,0,5,oxidation,recipe_cluster_moe,direct
recipe_expert_2,33,17,5,oxidation,recipe_cluster_moe,direct
recipe_expert_3,29,0,5,oxidation,recipe_cluster_moe,direct
other,27,21,5,viscosity,dominant_base_oil_moe,residual
Базовое_масло_1,38,0,5,viscosity,dominant_base_oil_moe,residual
Базовое_масло_14,31,11,5,viscosity,dominant_base_oil_moe,residual
Базовое_масло_2,28,1,5,viscosity,dominant_base_oil_moe,residual
Базовое_масло_7,10,0,5,viscosity,dominant_base_oil_moe,residual
other,27,21,5,oxidation,dominant_base_oil_moe,residual
Базовое_масло_1,38,0,5,oxidation,dominant_base_oil_moe,residual
Базовое_масло_14,31,11,5,oxidation,dominant_base_oil_moe,residual
Базовое_масло_2,28,1,5,oxidation,dominant_base_oil_moe,residual
Базовое_масло_7,10,0,5,oxidation,dominant_base_oil_moe,residual
other,27,21,5,viscosity,dominant_base_oil_moe,direct
Базовое_масло_1,38,0,5,viscosity,dominant_base_oil_moe,direct
Базовое_масло_14,31,11,5,viscosity,dominant_base_oil_moe,direct
Базовое_масло_2,28,1,5,viscosity,dominant_base_oil_moe,direct
Базовое_масло_7,10,0,5,viscosity,dominant_base_oil_moe,direct
other,27,21,5,oxidation,dominant_base_oil_moe,direct
Базовое_масло_1,38,0,5,oxidation,dominant_base_oil_moe,direct
Базовое_масло_14,31,11,5,oxidation,dominant_base_oil_moe,direct
Базовое_масло_2,28,1,5,oxidation,dominant_base_oil_moe,direct
Базовое_масло_7,10,0,5,oxidation,dominant_base_oil_moe,direct
ao_heavy,7,1,5,viscosity,package_type_moe,residual
ao_mo,60,30,5,viscosity,package_type_moe,residual
detergent_heavy,42,0,5,viscosity,package_type_moe,residual
mixed,8,0,5,viscosity,package_type_moe,residual
zddp_heavy,17,2,5,viscosity,package_type_moe,residual
ao_heavy,7,1,5,oxidation,package_type_moe,residual
ao_mo,60,30,5,oxidation,package_type_moe,residual
detergent_heavy,42,0,5,oxidation,package_type_moe,residual
mixed,8,0,5,oxidation,package_type_moe,residual
zddp_heavy,17,2,5,oxidation,package_type_moe,residual
ao_heavy,7,1,5,viscosity,package_type_moe,direct
ao_mo,60,30,5,viscosity,package_type_moe,direct
detergent_heavy,42,0,5,viscosity,package_type_moe,direct
mixed,8,0,5,viscosity,package_type_moe,direct
zddp_heavy,17,2,5,viscosity,package_type_moe,direct
ao_heavy,7,1,5,oxidation,package_type_moe,direct
ao_mo,60,30,5,oxidation,package_type_moe,direct
detergent_heavy,42,0,5,oxidation,package_type_moe,direct
mixed,8,0,5,oxidation,package_type_moe,direct
zddp_heavy,17,2,5,oxidation,package_type_moe,direct
