detergent,zdp_component,n_scenarios,mean_delta_visc,mean_oxidation,delta_visc_shift_vs_global,oxidation_shift_vs_global,comparable_condition_groups,avg_delta_visc_diff,avg_oxidation_diff,antagonism_score
Детергент_1,Противоизносная_присадка_21,1,62.3,96.92,3.976467065868256,41.092455089820355,1,66.3209649122807,47.53947368421053,54.171570175438596
Детергент_3,Противоизносная_присадка_21,1,62.3,96.92,3.976467065868256,41.092455089820355,1,66.3209649122807,47.53947368421053,54.171570175438596
Детергент_5,Противоизносная_присадка_21,1,62.3,96.92,3.976467065868256,41.092455089820355,1,66.3209649122807,47.53947368421053,54.171570175438596
Детергент_2,Противоизносная_присадка_8,1,25.67,97.77,-32.65353293413174,41.94245508982035,1,29.36964912280702,48.396929824561404,51.333894736842105
Детергент_18,Противоизносная_присадка_2,1,48.9,93.48,-9.423532934131742,37.65245508982036,1,52.80342105263158,44.069298245614036,49.349640350877195
Детергент_16,Противоизносная_присадка_2,1,48.3,88.19,-10.023532934131744,32.36245508982035,1,52.19815789473684,38.7328947368421,43.952710526315784
Детергент_3,Противоизносная_присадка_1,1,11.52,85.8,-46.80353293413174,29.97245508982035,1,15.095526315789474,36.3219298245614,37.83148245614035
Детергент_5,Противоизносная_присадка_1,1,11.52,85.8,-46.80353293413174,29.97245508982035,1,15.095526315789474,36.3219298245614,37.83148245614035
Детергент_1,Противоизносная_присадка_29,1,-23.78,85.04,-82.10353293413175,29.21245508982036,1,-20.514122807017543,35.55526315789474,33.50385087719299
Детергент_2,Противоизносная_присадка_29,1,-23.78,85.04,-82.10353293413175,29.21245508982036,1,-20.514122807017543,35.55526315789474,33.50385087719299
Детергент_4,Противоизносная_присадка_20,1,0.71,72.96,-57.61353293413174,17.132455089820347,1,4.190701754385965,23.36929824561402,23.788368421052613
Детергент_14,Противоизносная_присадка_10,1,-4.77,71.94,-63.093532934131744,16.11245508982035,1,-1.3373684210526302,22.340350877192975,22.20661403508771
Детергент_17,Противоизносная_присадка_10,1,-9.85,70.21,-68.17353293413174,14.382455089820347,1,-6.461929824561404,20.595175438596485,19.948982456140346
Детергент_20,Противоизносная_присадка_10,1,-7.86,70.0,-66.18353293413175,14.172455089820353,1,-4.454473684210527,20.383333333333326,19.937885964912272
Детергент_21,Противоизносная_присадка_10,1,-9.94,65.94,-68.26353293413175,10.112455089820351,1,-6.552719298245613,16.287719298245612,15.632447368421051
Детергент_2,Противоизносная_присадка_10,1,-12.6,65.25,-70.92353293413174,9.422455089820353,1,-9.236052631578946,15.591666666666654,14.66806140350876
Детергент_19,Противоизносная_присадка_10,1,-19.12,64.96,-77.44353293413174,9.132455089820347,1,-15.813245614035088,15.299122807017525,13.717798245614016
Детергент_23,Противоизносная_присадка_5,1,11.36,11.48,-46.96353293413174,-44.34754491017965,1,-2.782857142857143,-5.8514285714285705,-6.129714285714285
Детергент_3,Противоизносная_присадка_5,1,11.36,11.48,-46.96353293413174,-44.34754491017965,1,-2.782857142857143,-5.8514285714285705,-6.129714285714285
Детергент_1,Противоизносная_присадка_18,1,-18.1,36.52,-76.42353293413174,-19.307544910179644,1,-14.784298245614035,-13.390350877192986,-14.86878070175439
Детергент_2,Противоизносная_присадка_18,1,-18.1,36.52,-76.42353293413174,-19.307544910179644,1,-14.784298245614035,-13.390350877192986,-14.86878070175439
Детергент_1,Противоизносная_присадка_26,1,-19.12,34.19,-77.44353293413174,-21.63754491017965,1,-15.813245614035088,-15.74078947368421,-17.32211403508772
Детергент_2,Противоизносная_присадка_26,1,-19.12,34.19,-77.44353293413174,-21.63754491017965,1,-15.813245614035088,-15.74078947368421,-17.32211403508772
Детергент_1,Противоизносная_присадка_25,1,-19.54,33.87,-77.86353293413174,-21.95754491017965,1,-16.236929824561404,-16.063596491228083,-17.687289473684224
Детергент_2,Противоизносная_присадка_25,1,-19.54,33.87,-77.86353293413174,-21.95754491017965,1,-16.236929824561404,-16.063596491228083,-17.687289473684224
Детергент_6,Противоизносная_присадка_10,1,-9.39,31.54,-67.71353293413173,-24.287544910179648,1,-5.997894736842106,-18.414035087719306,-19.013824561403517
Детергент_1,Противоизносная_присадка_28,1,-21.6,31.35,-79.92353293413174,-24.477544910179645,1,-18.315,-18.60570175438596,-20.43720175438596
Детергент_2,Противоизносная_присадка_28,1,-21.6,31.35,-79.92353293413174,-24.477544910179645,1,-18.315,-18.60570175438596,-20.43720175438596
Детергент_2,Противоизносная_присадка_20,1,-11.12,28.47,-69.44353293413174,-27.357544910179648,1,-7.743070175438595,-21.510964912280713,-22.28527192982457
Детергент_22,Противоизносная_присадка_10,1,-11.39,24.69,-69.71353293413173,-31.137544910179646,1,-8.015438596491228,-25.32412280701754,-26.125666666666664
Детергент_10,Противоизносная_присадка_11,1,24.83,18.32,-33.49353293413174,-37.50754491017965,1,28.522280701754383,-31.750000000000007,-28.897771929824568
Детергент_12,Противоизносная_присадка_5,1,-13.31,10.22,-71.63353293413174,-45.60754491017965,1,-9.952280701754386,-39.921052631578945,-40.91628070175438
