detergent,zdp_component,condition_key,n_present,n_absent,delta_visc_diff,oxidation_diff
Детергент_10,Противоизносная_присадка_2,150|216|7|1,1,11,-421.3818181818182,-40.73909090909092
Детергент_10,Противоизносная_присадка_2,160|168|0|1,1,114,17.74859649122807,-32.70833333333333
Детергент_11,Противоизносная_присадка_7,154|216|7|1,1,1,-454.91,14.519999999999982
Детергент_11,Противоизносная_присадка_7,160|168|0|1,3,112,-0.6801488095238089,0.040476190476198326
Детергент_11,Противоизносная_присадка_7,160|168|5|1,1,7,5.741428571428571,35.53285714285713
Детергент_12,Противоизносная_присадка_5,160|168|0|1,1,114,-9.952280701754386,-39.921052631578945
Детергент_13,Противоизносная_присадка_8,160|168|0|1,1,114,49.69640350877193,57.56666666666666
Детергент_14,Противоизносная_присадка_10,160|168|0|1,1,114,-1.3373684210526302,22.340350877192975
Детергент_16,Противоизносная_присадка_2,160|168|0|1,1,114,52.19815789473684,38.7328947368421
Детергент_17,Противоизносная_присадка_10,160|168|0|1,1,114,-6.461929824561404,20.595175438596485
Детергент_18,Противоизносная_присадка_2,160|168|0|1,1,114,52.80342105263158,44.069298245614036
Детергент_19,Противоизносная_присадка_10,160|168|0|1,1,114,-15.813245614035088,15.299122807017525
Детергент_2,Противоизносная_присадка_1,160|168|0|1,16,99,-9.567493686868687,-23.202746212121223
Детергент_2,Противоизносная_присадка_10,160|168|0|1,1,114,-9.236052631578946,15.591666666666654
Детергент_2,Противоизносная_присадка_18,160|168|0|1,1,114,-14.784298245614035,-13.390350877192986
Детергент_2,Противоизносная_присадка_2,160|168|0|1,2,113,21.34548672566372,56.80907079646019
Детергент_2,Противоизносная_присадка_20,160|168|0|1,1,114,-7.743070175438595,-21.510964912280713
Детергент_2,Противоизносная_присадка_25,160|168|0|1,1,114,-16.236929824561404,-16.063596491228083
Детергент_2,Противоизносная_присадка_26,160|168|0|1,1,114,-15.813245614035088,-15.74078947368421
Детергент_2,Противоизносная_присадка_28,160|168|0|1,1,114,-18.315,-18.60570175438596
Детергент_2,Противоизносная_присадка_29,160|168|0|1,1,114,-20.514122807017543,35.55526315789474
Детергент_2,Противоизносная_присадка_7,160|168|5|2,3,3,-37.78000000000001,79.75333333333333
Детергент_2,Противоизносная_присадка_8,160|168|0|1,1,114,29.36964912280702,48.396929824561404
Детергент_20,Противоизносная_присадка_10,160|168|0|1,1,114,-4.454473684210527,20.383333333333326
Детергент_21,Противоизносная_присадка_10,160|168|0|1,1,114,-6.552719298245613,16.287719298245612
Детергент_22,Противоизносная_присадка_10,160|168|0|1,1,114,-8.015438596491228,-25.32412280701754
Детергент_23,Противоизносная_присадка_5,160|168|7|1,1,7,-2.782857142857143,-5.8514285714285705
Детергент_3,Противоизносная_присадка_1,160|168|0|1,1,114,15.095526315789474,36.3219298245614
Детергент_3,Противоизносная_присадка_2,150|216|7|2,1,1,-112.09,24.400000000000006
Детергент_3,Противоизносная_присадка_2,160|168|0|1,11,104,-4.018277972027972,0.17862762237761132
Детергент_3,Противоизносная_присадка_2,160|168|5|1,1,7,-17.710000000000008,-18.090000000000003
Детергент_3,Противоизносная_присадка_2,160|168|5|2,1,5,10.707999999999998,-34.26799999999999
Детергент_3,Противоизносная_присадка_21,160|168|0|1,1,114,66.3209649122807,47.53947368421053
Детергент_3,Противоизносная_присадка_5,160|168|7|1,1,7,-2.782857142857143,-5.8514285714285705
Детергент_3,Противоизносная_присадка_7,154|216|7|1,1,1,-454.91,14.519999999999982
Детергент_3,Противоизносная_присадка_7,160|168|0|1,1,114,34.040263157894735,-25.616666666666674
Детергент_3,Противоизносная_присадка_7,160|168|5|1,4,4,-31.432499999999997,40.53750000000001
Детергент_4,Противоизносная_присадка_10,160|168|0|1,8,107,-5.030700934579438,-1.464544392523365
Детергент_4,Противоизносная_присадка_2,150|168|7|1,1,11,-253.73818181818183,-30.611818181818187
Детергент_4,Противоизносная_присадка_2,150|216|7|1,1,11,-403.8618181818182,-35.622727272727275
Детергент_4,Противоизносная_присадка_2,160|168|0|1,1,114,7.3178947368421055,39.6609649122807
Детергент_4,Противоизносная_присадка_2,160|168|5|1,1,7,18.79285714285714,-10.684285714285721
Детергент_4,Противоизносная_присадка_20,160|168|0|1,1,114,4.190701754385965,23.36929824561402
Детергент_4,Противоизносная_присадка_8,160|168|0|1,11,104,37.88836538461538,59.32019230769233
Детергент_5,Противоизносная_присадка_1,160|168|0|1,1,114,15.095526315789474,36.3219298245614
Детергент_5,Противоизносная_присадка_2,150|168|7|1,2,10,-281.614,-34.89699999999999
Детергент_5,Противоизносная_присадка_2,150|216|7|1,2,10,-453.88399999999996,-41.998999999999995
Детергент_5,Противоизносная_присадка_2,150|216|7|2,1,1,-112.09,24.400000000000006
Детергент_5,Противоизносная_присадка_2,160|168|0|1,9,106,12.752264150943397,-8.632861635220124
Детергент_5,Противоизносная_присадка_2,160|168|5|1,4,4,31.432499999999997,-40.53750000000001
Детергент_5,Противоизносная_присадка_2,160|168|5|2,1,5,10.707999999999998,-34.26799999999999
Детергент_5,Противоизносная_присадка_21,160|168|0|1,1,114,66.3209649122807,47.53947368421053
Детергент_5,Противоизносная_присадка_7,154|216|7|1,1,1,-454.91,14.519999999999982
Детергент_5,Противоизносная_присадка_7,160|168|0|1,1,114,34.040263157894735,-25.616666666666674
Детергент_5,Противоизносная_присадка_7,160|168|5|1,4,4,-31.432499999999997,40.53750000000001
Детергент_6,Противоизносная_присадка_1,160|168|0|1,2,113,-6.488584070796461,-22.39336283185842
Детергент_6,Противоизносная_присадка_10,160|168|0|1,1,114,-5.997894736842106,-18.414035087719306
Детергент_6,Противоизносная_присадка_2,160|168|5|1,2,6,41.278333333333336,-37.265000000000015
Детергент_6,Противоизносная_присадка_8,160|168|0|1,2,113,11.275353982300885,35.50862831858407
Детергент_7,Противоизносная_присадка_2,160|168|0|1,5,110,-5.034636363636364,25.728727272727276
Детергент_7,Противоизносная_присадка_5,150|168|7|1,1,11,309.2145454545454,12.675454545454556
Детергент_7,Противоизносная_присадка_5,160|168|0|1,1,114,-9.952280701754386,-39.921052631578945
Детергент_7,Противоизносная_присадка_5,160|168|7|1,1,7,-3.571428571428571,-6.857142857142856
Детергент_7,Противоизносная_присадка_7,154|216|7|1,1,1,454.91,-14.519999999999982
Детергент_7,Противоизносная_присадка_7,160|168|0|1,4,111,-18.390405405405406,-4.492680180180173
Детергент_8,Противоизносная_присадка_2,150|168|7|1,2,10,-281.614,-34.89699999999999
Детергент_8,Противоизносная_присадка_2,150|216|7|1,2,10,-453.88399999999996,-41.998999999999995
Детергент_8,Противоизносная_присадка_2,150|216|7|2,1,1,-112.09,24.400000000000006
Детергент_8,Противоизносная_присадка_2,160|168|0|1,4,111,10.696306306306306,-33.96013513513513
Детергент_8,Противоизносная_присадка_2,160|168|5|1,2,6,0.6316666666666606,-16.78500000000001
Детергент_8,Противоизносная_присадка_2,160|168|5|2,1,5,10.707999999999998,-34.26799999999999
Детергент_9,Противоизносная_присадка_11,160|168|0|1,5,110,-4.896636363636365,-3.7677272727272637
